Pos,Juego,Mes,Año,HorasV,HorasT,Streamers,MaxEsp,MaxCan,PromEsp,PromCan
156,Age of Empires II,Noviembre,2019,"    342,558 horas","     7,552 horas","    1,378 streamers","   13,776 espectadores",     39 canales,    476 espectadores,    10 canales
92,Summoners War: Sky Arena,Febrero,2016,"    312,957 horas","    11,958 horas",      686 streamers,NA,     40 canales,    450 espectadores,NA
88,The Legend of Zelda: Ocarina of Time,Junio,2016,"    319,898 horas","     9,586 horas",      930 streamers,NA,     40 canales,    444 espectadores,    13 canales
103,Star Citizen,Septiembre,2016,"    240,066 horas","     9,703 horas","    1,361 streamers","    2,432 espectadores",     40 canales,    333 espectadores,NA
183,Star Citizen,Mayo,2018,"    225,575 horas","    11,410 horas","    1,196 streamers","    5,514 espectadores",     40 canales,    303 espectadores,    15 canales
194,Dofus,Diciembre,2018,"    282,833 horas","    10,958 horas","    1,110 streamers",NA,     40 canales,    380 espectadores,    14 canales
194,Dofus,Abril,2019,"    275,706 horas","    11,904 horas","    1,037 streamers","    1,920 espectadores",     40 canales,    383 espectadores,    16 canales
36,Super Smash Bros. Melee,Agosto,2016,"  1,312,762 horas","    10,472 horas","    1,932 streamers","   55,466 espectadores",     41 canales,"  1,766 espectadores",    14 canales
72,Summoners War: Sky Arena,Octubre,2016,"    481,697 horas","    12,015 horas",      803 streamers,"    2,822 espectadores",     41 canales,    648 espectadores,    16 canales
95,Summoners War: Sky Arena,Julio,2018,"    765,080 horas","    15,045 horas","    1,035 streamers","    8,288 espectadores",     41 canales,NA,    20 canales
147,Super Smash Bros. Melee,Diciembre,2019,"    428,484 horas","     9,886 horas","    1,510 streamers","   25,283 espectadores",     41 canales,    576 espectadores,    13 canales
42,Super Smash Bros. Melee,Junio,2016,"  1,035,535 horas","    10,237 horas","    1,786 streamers","   37,693 espectadores",     42 canales,"  1,440 espectadores",    14 canales
71,Chess,Abril,2018,"    854,523 horas","    11,480 horas",      906 streamers,"   28,156 espectadores",     42 canales,"  1,188 espectadores",    15 canales
91,Age of Empires II,Mayo,2018,"    674,338 horas","    12,606 horas","    1,701 streamers","    9,564 espectadores",     42 canales,    907 espectadores,    16 canales
151,Dofus,Mayo,2018,"    315,508 horas","    11,464 horas","    1,021 streamers","    5,907 espectadores",     42 canales,NA,NA
113,Summoners War: Sky Arena,Junio,2018,"    536,763 horas","    14,032 horas","    1,053 streamers",NA,     42 canales,    746 espectadores,NA
83,Super Smash Bros. Melee,Agosto,2019,"    875,807 horas","    10,715 horas","    1,669 streamers","   73,955 espectadores",     42 canales,"  1,178 espectadores",    14 canales
106,Age of Empires II,Septiembre,2019,"    582,784 horas","    12,240 horas","    1,416 streamers","   11,904 espectadores",     42 canales,    810 espectadores,NA
71,Super Smash Bros. Melee,Octubre,2019,"  1,079,181 horas","    10,503 horas","    1,513 streamers",NA,     42 canales,"  1,452 espectadores",    14 canales
167,Super Smash Bros. Melee,Noviembre,2019,"    304,127 horas","     9,917 horas","    1,461 streamers","   12,110 espectadores",     42 canales,NA,    13 canales
57,Summoners War: Sky Arena,Septiembre,2016,"    506,810 horas","    12,397 horas",      808 streamers,"    6,602 espectadores",     43 canales,    704 espectadores,    17 canales
76,Age of Empires II,Abril,2018,"    821,016 horas","    13,519 horas","    1,654 streamers",NA,     43 canales,"  1,141 espectadores",NA
73,Age of Empires II,Julio,2018,"  1,089,933 horas","    13,959 horas","    1,927 streamers","   45,645 espectadores",     43 canales,"  1,466 espectadores",    18 canales
185,Dofus,Noviembre,2018,"    248,913 horas","    10,213 horas","    1,053 streamers","    4,798 espectadores",     43 canales,    346 espectadores,    14 canales
52,The Legend of Zelda: Ocarina of Time,Septiembre,2016,"    620,460 horas","     8,564 horas",      834 streamers,"    4,111 espectadores",     44 canales,NA,    11 canales
188,Dofus,Agosto,2018,"    232,985 horas","    10,497 horas",      959 streamers,"    4,605 espectadores",     44 canales,    313 espectadores,    14 canales
121,Age of Empires II,Julio,2019,"    508,297 horas","    13,738 horas","    1,768 streamers",NA,     44 canales,    684 espectadores,    18 canales
104,Age of Empires II,Agosto,2019,"    582,184 horas","    12,632 horas","    1,582 streamers",NA,     44 canales,    783 espectadores,    17 canales
197,Summoners War: Sky Arena,Febrero,2024,"    670,148 horas","    11,986 horas","    1,189 streamers","   12,211 espectadores",     44 canales,    964 espectadores,    17 canales
50,The Legend of Zelda: Ocarina of Time,Julio,2016,"    816,869 horas","     9,361 horas",      967 streamers,"  131,876 espectadores",     45 canales,"  1,099 espectadores",    12 canales
80,Summoners War: Sky Arena,Mayo,2017,"    612,267 horas","    14,968 horas","    1,083 streamers",NA,     45 canales,    824 espectadores,    20 canales
171,The Legend of Zelda: Ocarina of Time,Marzo,2018,"    238,187 horas","    10,513 horas","    1,113 streamers","    4,622 espectadores",     45 canales,    320 espectadores,    14 canales
124,Super Smash Bros. Melee,Julio,2019,"    492,019 horas","    12,342 horas","    1,779 streamers",NA,     45 canales,    662 espectadores,    16 canales
121,Age of Empires II,Octubre,2019,"    550,469 horas","    11,512 horas","    1,388 streamers","   13,413 espectadores",     45 canales,    740 espectadores,    15 canales
199,Summoners War: Sky Arena,Julio,2022,"    619,845 horas","    13,391 horas","    1,409 streamers","    6,732 espectadores",     45 canales,    834 espectadores,    18 canales
114,Dofus,Febrero,2016,"    224,776 horas","    10,051 horas",      951 streamers,"    1,690 espectadores",     46 canales,    323 espectadores,    14 canales
109,The Legend of Zelda: Ocarina of Time,Mayo,2016,"    225,025 horas","     9,480 horas",      935 streamers,"    3,058 espectadores",     46 canales,NA,    12 canales
133,Star Citizen,Octubre,2017,"    291,422 horas","     7,725 horas",      825 streamers,"   25,201 espectadores",     46 canales,    392 espectadores,NA
114,Chess,Mayo,2018,"    481,793 horas","    11,978 horas",      919 streamers,"    8,146 espectadores",     46 canales,    648 espectadores,    16 canales
101,Summoners War: Sky Arena,Agosto,2018,"    718,440 horas","    15,821 horas","    1,018 streamers",NA,     46 canales,    966 espectadores,    21 canales
194,Super Smash Bros. Melee,Enero,2019,"    332,960 horas","    11,241 horas","    1,880 streamers","    7,074 espectadores",     46 canales,    448 espectadores,    15 canales
92,Super Smash Bros. Melee,Abril,2019,"    810,623 horas","    10,998 horas","    1,823 streamers","   76,022 espectadores",     46 canales,"  1,127 espectadores",NA
122,Age of Empires II,Junio,2019,"    561,958 horas","    14,779 horas","    1,952 streamers",NA,     46 canales,    781 espectadores,    20 canales
195,Summoners War: Sky Arena,Septiembre,2022,"    679,287 horas","    12,906 horas","    1,303 streamers","    7,125 espectadores",     46 canales,    944 espectadores,    17 canales
200,Summoners War: Sky Arena,Marzo,2023,"    607,738 horas","    11,773 horas","    1,319 streamers","   11,087 espectadores",     46 canales,    817 espectadores,    15 canales
69,Summoners War: Sky Arena,Junio,2016,"    392,593 horas","    11,824 horas",      796 streamers,"    2,837 espectadores",     47 canales,    546 espectadores,    16 canales
185,Dofus,Marzo,2019,"    305,677 horas","    13,126 horas","    1,258 streamers","    2,834 espectadores",     47 canales,    411 espectadores,    17 canales
87,Age of Empires II,Abril,2019,"    902,392 horas","    14,734 horas","    1,863 streamers","   18,811 espectadores",     47 canales,"  1,255 espectadores",NA
54,Super Smash Bros. Melee,Diciembre,2016,"  1,031,020 horas","    11,151 horas",      577 streamers,"   49,923 espectadores",     48 canales,"  1,387 espectadores",NA
66,The Legend of Zelda: Ocarina of Time,Enero,2017,"    853,314 horas","    11,895 horas","    1,216 streamers","    7,059 espectadores",     48 canales,"  1,148 espectadores",    16 canales
175,Dofus,Marzo,2017,"    148,930 horas","     7,191 horas",      664 streamers,"    5,080 espectadores",     48 canales,    200 espectadores,     9 canales
88,Summoners War: Sky Arena,Febrero,2018,"    590,964 horas","    16,068 horas","    1,102 streamers","    3,491 espectadores",     48 canales,    880 espectadores,    23 canales
146,The Legend of Zelda: Ocarina of Time,Abril,2018,"    332,808 horas","    10,106 horas","    1,097 streamers","    5,037 espectadores",     48 canales,NA,    14 canales
94,Summoners War: Sky Arena,Mayo,2018,"    644,126 horas","    17,038 horas","    1,179 streamers","    2,781 espectadores",     48 canales,    866 espectadores,    22 canales
73,Star Citizen,Octubre,2016,"    470,922 horas","     9,357 horas","    1,487 streamers","   39,998 espectadores",     49 canales,    633 espectadores,    12 canales
80,Summoners War: Sky Arena,Diciembre,2016,"    603,173 horas","    14,323 horas",      328 streamers,"    4,284 espectadores",     49 canales,    811 espectadores,    19 canales
63,Summoners War: Sky Arena,Junio,2017,"    868,999 horas","    15,798 horas","    1,054 streamers","   35,599 espectadores",     49 canales,"  1,208 espectadores",    21 canales
150,Star Citizen,Abril,2018,"    316,480 horas","    14,903 horas","    1,702 streamers","    5,708 espectadores",     49 canales,    440 espectadores,    20 canales
143,Super Smash Bros. Melee,Marzo,2019,"    444,950 horas","    11,033 horas","    1,882 streamers","   15,369 espectadores",     49 canales,    598 espectadores,    14 canales
97,Summoners War: Sky Arena,Mayo,2019,"    796,020 horas","    16,275 horas","    1,045 streamers","    4,827 espectadores",     49 canales,"  1,071 espectadores",    21 canales
120,Summoners War: Sky Arena,Enero,2020,"    713,324 horas","    17,002 horas","    1,016 streamers","    5,609 espectadores",     49 canales,NA,    22 canales
177,Summoners War: Sky Arena,Noviembre,2021,"    765,308 horas","    13,865 horas",      951 streamers,NA,     49 canales,"  1,064 espectadores",    19 canales
189,iRacing,Febrero,2016,"    108,360 horas","     7,701 horas",      669 streamers,"    1,548 espectadores",     50 canales,    155 espectadores,    11 canales
93,Chess,Agosto,2018,"    756,264 horas","    12,803 horas","    1,007 streamers","    8,693 espectadores",     50 canales,"  1,017 espectadores",NA
81,Age of Empires II,Febrero,2019,"    973,404 horas","    13,935 horas","    1,849 streamers","   12,274 espectadores",     50 canales,"  1,450 espectadores",    20 canales
172,Summoners War: Sky Arena,Junio,2022,"    816,166 horas","    14,380 horas","    1,471 streamers",NA,     50 canales,"  1,135 espectadores",    20 canales
188,Super Smash Bros. Melee,Agosto,2024,"    705,943 horas","    13,535 horas","    1,703 streamers",NA,     50 canales,    950 espectadores,    18 canales
52,The Legend of Zelda: Ocarina of Time,Febrero,2016,"  1,022,938 horas","    11,728 horas","    1,051 streamers","    7,905 espectadores",     51 canales,"  1,471 espectadores",NA
200,iRacing,Mayo,2016,"     89,811 horas","     6,595 horas",      630 streamers,      643 espectadores,     51 canales,    120 espectadores,     8 canales
112,Stardew Valley,Junio,2016,"    199,369 horas","    14,457 horas","    2,680 streamers","   12,394 espectadores",     51 canales,NA,NA
59,Super Smash Bros. Melee,Septiembre,2016,"    483,617 horas","    10,727 horas","    1,867 streamers","    5,390 espectadores",     51 canales,    672 espectadores,    14 canales
50,Super Smash Bros. Melee,Junio,2017,"  1,109,824 horas","    13,203 horas","    2,338 streamers",NA,     51 canales,"  1,543 espectadores",    18 canales
57,Summoners War: Sky Arena,Noviembre,2017,"    960,217 horas","    15,462 horas","    1,130 streamers","   57,021 espectadores",     51 canales,NA,    21 canales
63,Summoners War: Sky Arena,Septiembre,2018,"  1,099,646 horas","    17,716 horas","    1,138 streamers","   42,720 espectadores",     51 canales,"  1,529 espectadores",    24 canales
97,Summoners War: Sky Arena,Abril,2019,"    764,470 horas","    16,796 horas","    1,091 streamers","    8,202 espectadores",     51 canales,"  1,063 espectadores",    23 canales
73,Summoners War: Sky Arena,Octubre,2019,"  1,015,829 horas","    17,913 horas","    1,100 streamers","   70,725 espectadores",     51 canales,"  1,367 espectadores",    24 canales
96,Super Smash Bros. Melee,Enero,2020,"    982,119 horas","    11,039 horas","    1,741 streamers","  100,696 espectadores",     51 canales,"  1,321 espectadores",    14 canales
181,Summoners War: Sky Arena,Marzo,2022,"    661,989 horas","    15,404 horas","    1,426 streamers","    5,131 espectadores",     51 canales,    890 espectadores,    20 canales
166,Super Smash Bros. Melee,Junio,2023,"    659,295 horas","    11,689 horas","    1,864 streamers","   36,367 espectadores",     51 canales,    916 espectadores,    16 canales
187,Super Smash Bros. Melee,Mayo,2024,"    707,539 horas","    12,842 horas","    1,733 streamers",NA,     51 canales,    952 espectadores,    17 canales
200,Summoners War: Sky Arena,Mayo,2024,"    648,645 horas","    14,104 horas","    1,211 streamers","    6,764 espectadores",     51 canales,    873 espectadores,    18 canales
47,Super Smash Bros. Melee,Marzo,2016,"  1,135,656 horas","    11,714 horas","    1,992 streamers","   48,309 espectadores",     52 canales,"  1,528 espectadores",    15 canales
193,Terraria,Octubre,2016,"    131,895 horas","    16,997 horas","    3,525 streamers","    1,121 espectadores",     52 canales,    177 espectadores,    22 canales
36,Super Smash Bros. Melee,Noviembre,2016,"  1,872,113 horas","    11,007 horas","    1,836 streamers","   54,362 espectadores",     52 canales,"  2,603 espectadores",    15 canales
41,Super Smash Bros. Melee,Julio,2017,"  1,764,653 horas","    13,595 horas","    2,463 streamers","  133,051 espectadores",     52 canales,NA,NA
51,Super Smash Bros. Melee,Agosto,2017,"  1,182,434 horas","    13,419 horas","    2,307 streamers","   47,216 espectadores",     52 canales,"  1,591 espectadores",NA
58,Summoners War: Sky Arena,Octubre,2017,"    937,395 horas","    18,006 horas","    1,213 streamers","   29,805 espectadores",     52 canales,"  1,261 espectadores",    24 canales
68,Summoners War: Sky Arena,Diciembre,2017,"    851,453 horas","    18,287 horas","    1,316 streamers","    4,173 espectadores",     52 canales,NA,NA
76,Age of Empires II,Febrero,2018,"    676,502 horas","    13,701 horas","    1,825 streamers","    9,239 espectadores",     52 canales,"  1,008 espectadores",    20 canales
136,The Legend of Zelda: Ocarina of Time,Mayo,2018,"    389,349 horas","    12,738 horas","    1,251 streamers","    3,969 espectadores",     52 canales,    524 espectadores,    17 canales
102,Age of Empires II,Noviembre,2018,"    741,924 horas","    13,159 horas","    1,761 streamers","   13,929 espectadores",     52 canales,NA,    18 canales
97,Summoners War: Sky Arena,Febrero,2019,"    696,155 horas","    14,825 horas",      963 streamers,"    3,251 espectadores",     52 canales,"  1,037 espectadores",    22 canales
147,Dofus,Junio,2019,"    460,614 horas","    13,992 horas","    1,103 streamers","    2,802 espectadores",     52 canales,    640 espectadores,    19 canales
79,Summoners War: Sky Arena,Julio,2019,"    874,167 horas","    17,508 horas","    1,088 streamers","    5,203 espectadores",     52 canales,"  1,176 espectadores",NA
99,Dofus,Agosto,2019,"    665,710 horas","    16,040 horas","    1,322 streamers","    3,585 espectadores",     52 canales,    895 espectadores,    21 canales
80,Summoners War: Sky Arena,Septiembre,2019,"    883,629 horas","    17,383 horas","    1,081 streamers","   12,976 espectadores",     52 canales,NA,    24 canales
48,The Legend of Zelda: Ocarina of Time,Febrero,2017,"  1,054,469 horas","    13,508 horas","    1,282 streamers",NA,     53 canales,"  1,571 espectadores",    20 canales
67,Summoners War: Sky Arena,Marzo,2017,"    710,898 horas","    14,247 horas",      859 streamers,"    9,414 espectadores",     53 canales,    956 espectadores,NA
193,Star Citizen,Marzo,2018,"    207,049 horas","     9,043 horas","    1,105 streamers","    6,078 espectadores",     53 canales,NA,    12 canales
92,Age of Empires II,Diciembre,2018,"    807,815 horas","    15,379 horas","    2,199 streamers","    7,013 espectadores",     53 canales,"  1,087 espectadores",    20 canales
59,Super Smash Bros. Melee,Febrero,2019,"  1,402,943 horas","    11,067 horas","    1,787 streamers","  163,773 espectadores",     53 canales,"  2,090 espectadores",NA
129,Summoners War: Sky Arena,Febrero,2020,"    598,656 horas","    15,966 horas","    1,019 streamers",NA,     53 canales,    861 espectadores,    22 canales
178,Super Smash Bros. Melee,Marzo,2020,"    454,379 horas","    13,076 horas","    2,046 streamers","    7,954 espectadores",     53 canales,    611 espectadores,    17 canales
182,Super Smash Bros. Melee,Junio,2024,"    662,296 horas","    12,412 horas","    1,637 streamers","   33,786 espectadores",     53 canales,    921 espectadores,    17 canales
54,Summoners War: Sky Arena,Septiembre,2017,"    851,617 horas","    16,021 horas","    1,049 streamers","   22,954 espectadores",     54 canales,NA,    22 canales
44,Super Smash Bros. Melee,Mayo,2018,"  2,164,149 horas","    14,813 horas","    2,362 streamers","   60,376 espectadores",     54 canales,"  2,912 espectadores",    19 canales
120,Super Smash Bros. Melee,Julio,2018,"    589,961 horas","    14,540 horas","    2,481 streamers","   23,722 espectadores",     54 canales,    794 espectadores,    19 canales
126,Chess,Julio,2018,"    542,627 horas","    11,893 horas",      996 streamers,"   11,882 espectadores",     54 canales,    730 espectadores,    16 canales
45,Super Smash Bros. Melee,Agosto,2018,"  2,161,053 horas","    15,510 horas","    2,580 streamers","  179,128 espectadores",     54 canales,"  2,908 espectadores",    20 canales
86,Chess,Septiembre,2018,"    703,805 horas","    12,637 horas",      951 streamers,NA,     54 canales,    978 espectadores,    17 canales
101,Age of Empires II,Enero,2019,"    833,617 horas","    17,252 horas","    2,280 streamers","    7,888 espectadores",     54 canales,"  1,121 espectadores",NA
138,Dofus,Febrero,2020,"    559,023 horas","    15,514 horas","    1,149 streamers","    4,077 espectadores",     54 canales,NA,    22 canales
57,The Legend of Zelda: Ocarina of Time,Diciembre,2016,"  1,005,331 horas","     9,760 horas",      298 streamers,"    9,780 espectadores",     55 canales,"  1,353 espectadores",    13 canales
80,Summoners War: Sky Arena,Enero,2017,"    678,735 horas","    17,130 horas","    1,062 streamers","    3,696 espectadores",     55 canales,    913 espectadores,    23 canales
141,Stardew Valley,Abril,2017,"    208,199 horas","    20,573 horas","    3,012 streamers","    3,840 espectadores",     55 canales,    289 espectadores,    28 canales
48,Super Smash Bros. Melee,Mayo,2017,"  1,123,276 horas","    13,570 horas","    2,502 streamers","   67,791 espectadores",     55 canales,"  1,511 espectadores",    18 canales
149,Terraria,Noviembre,2017,"    249,671 horas","    19,332 horas","    3,614 streamers",NA,     55 canales,    347 espectadores,    26 canales
140,Chess,Junio,2018,"    415,287 horas","    10,419 horas",      880 streamers,"    6,379 espectadores",     55 canales,NA,    14 canales
32,Chess,Noviembre,2018,"  4,789,429 horas","    15,877 horas","    1,315 streamers","  135,778 espectadores",     55 canales,NA,    22 canales
91,Summoners War: Sky Arena,Noviembre,2018,"    870,916 horas","    17,297 horas","    1,179 streamers","    3,630 espectadores",     55 canales,NA,    24 canales
94,Super Smash Bros. Melee,Mayo,2019,"    811,091 horas","    12,351 horas","    2,052 streamers","   68,276 espectadores",     55 canales,"  1,091 espectadores",    16 canales
