Edad,Pais,CantidadCursos,HorasSuenio,ActividadFisica,FrecBebida,UnidadBebida,HorasEjercicio,CanDesayuno,Carrera,Estres,CicloAcademico,CalidadSuenio
19,Masculino,6,8,Actividad aeróbica,0,0,6,Bastante,"Administración, Negocios y Contabilidad",Alto,2,Buena
19,Femenino,6,5,Mixta,0,0,3,Poca,"Administración, Negocios y Contabilidad",Muy alto,5,Mala
20,Masculino,5,7,Deportes colectivos,0,0,5,Ninguna,"Ingeniería, Tecnología y Construcción",Bajo,6,Buena
19,Masculino,4,7,Actividad aeróbica,0,0,1,Bastante,Ciencias Exactas y Ambientales,Medio,5,Buena
18,Masculino,5,7,Actividad aeróbica,3,1,6,Regular,"Ingeniería, Tecnología y Construcción",Alto,3,Mala
17,Femenino,6,6,Actividad aeróbica,0,0,4.1,Bastante,Ciencias Sociales y Derecho,Medio,1,Mala
17,Masculino,5,6,Deportes colectivos,1,1,4,Regular,"Administración, Negocios y Contabilidad",Medio,1,Regular
19,Femenino,6,10,No realiza actividad física,0,0,1,Ninguna,"Ingeniería, Tecnología y Construcción",Muy alto,1,Regular
17,Masculino,8,6,Actividad aeróbica,0,0,2,Bastante,"Ingeniería, Tecnología y Construcción",Bajo,1,Regular
19,Masculino,6,8,Actividad aeróbica,0,0,4,Bastante,"Ingeniería, Tecnología y Construcción",Alto,7,Buena
18,Masculino,5,6,Deportes colectivos,0,0,2,Regular,"Ingeniería, Tecnología y Construcción",Alto,3,Regular
18,Masculino,6,5,Actividad aeróbica,0,0,1.6,Regular,"Ingeniería, Tecnología y Construcción",Medio,3,Mala
19,Masculino,6,10,Actividad aeróbica,0,1,1,Bastante,"Administración, Negocios y Contabilidad",Muy alto,5,Muy buena
21,Masculino,5,8,Actividad aeróbica,0,0,6,Mucha,"Administración, Negocios y Contabilidad",Alto,9,Buena
19,Femenino,5,6.5,No realiza actividad física,0,0,1,Bastante,"Ingeniería, Tecnología y Construcción",Alto,3,Mala
19,Masculino,6,NA,Deportes colectivos,2,2,1.5,Poca,"Ingeniería, Tecnología y Construcción",Medio,5,Regular
19,Masculino,6,4,Actividad aeróbica,2,1,2,Mucha,"Ingeniería, Tecnología y Construcción",Muy alto,3,Muy mala
19,Masculino,4,6,Actividad aeróbica,0,1,8.5,Bastante,"Administración, Negocios y Contabilidad",Alto,3,Regular
21,Masculino,8,7,Deportes colectivos,0,0,NA,Mucha,"Administración, Negocios y Contabilidad",Bajo,4,Regular
20,Masculino,5,6,Mixta,0,0,10,Regular,"Ingeniería, Tecnología y Construcción",Alto,5,Buena
19,Masculino,5,6,Actividad aeróbica,1,1,6,Bastante,"Ingeniería, Tecnología y Construcción",Alto,5,Regular
19,Femenino,5,5,Actividad aeróbica,1,1,2,Bastante,"Ingeniería, Tecnología y Construcción",Muy alto,5,Regular
20,Masculino,4,8,Actividad aeróbica,2,1,14,Bastante,"Ingeniería, Tecnología y Construcción",Medio,5,Buena
19,Masculino,4,6,Actividad aeróbica,1,3,4,Bastante,Ciencias Exactas y Ambientales,Medio,4,Regular
19,Masculino,6,7,Actividad aeróbica,1,1,7.5,Bastante,"Ingeniería, Tecnología y Construcción",Alto,5,Regular
19,Femenino,4,5,Mixta,0,0,9,Poca,"Ingeniería, Tecnología y Construcción",Medio,5,Mala
17,Masculino,7,3,No realiza actividad física,7,NA,8.5,Ninguna,"Ingeniería, Tecnología y Construcción",Alto,3,Muy mala
19,Masculino,7,6,Deportes colectivos,0,0,8,Regular,"Ingeniería, Tecnología y Construcción",Alto,3,Regular
18,Masculino,6,7,Actividad aeróbica,0,0,6,Ninguna,"Ingeniería, Tecnología y Construcción",Bajo,3,Regular
22,Masculino,7,NA,Actividad aeróbica,0,3,1,Regular,Ciencias Sociales y Derecho,Medio,9,Muy buena
20,Masculino,6,8,Deportes colectivos,2,1,2,Bastante,"Ingeniería, Tecnología y Construcción",Bajo,5,Buena
19,Masculino,5,6,Deportes colectivos,2,1,5,Regular,"Ingeniería, Tecnología y Construcción",Bajo,3,Regular
22,Masculino,4,4,Mixta,2,1,7,Regular,"Ingeniería, Tecnología y Construcción",Alto,8,Muy mala
19,Masculino,5,3,Actividad aeróbica,4,2,2,Poca,"Ingeniería, Tecnología y Construcción",Muy alto,5,Muy mala
19,Masculino,5,5,Actividad aeróbica,2,2,6,Bastante,"Ingeniería, Tecnología y Construcción",Muy alto,4,Mala
18,Masculino,4,6,No realiza actividad física,0,0,1,Bastante,"Ingeniería, Tecnología y Construcción",Alto,5,Regular
23,Masculino,4,7,Actividad aeróbica,0,0,7,Bastante,"Ingeniería, Tecnología y Construcción",Alto,6,Regular
21,Masculino,4,7,Actividad aeróbica,0,0,5,Bastante,"Ingeniería, Tecnología y Construcción",Bajo,9,Buena
22,Masculino,5,6,Actividad aeróbica,4,2,4,Regular,"Ingeniería, Tecnología y Construcción",Alto,10,Regular
19,Masculino,4,5,Deportes colectivos,6,1,4.5,Bastante,Ciencias de la Salud,Alto,3,Muy mala
20,Masculino,6,7,Deportes colectivos,0,0,1,Bastante,"Ingeniería, Tecnología y Construcción",Medio,7,Buena
20,Femenino,7,6,Actividad aeróbica,0,0,1,Regular,"Ingeniería, Tecnología y Construcción",Muy alto,7,Regular
25,Masculino,6,5,Deportes colectivos,0,0,2,Mucha,"Ingeniería, Tecnología y Construcción",Muy alto,5,Regular
21,Masculino,5,6,Deportes colectivos,1,0,2,Poca,"Ingeniería, Tecnología y Construcción",Bajo,4,Regular
21,Masculino,6,7,Actividad aeróbica,2,2,2,Bastante,"Ingeniería, Tecnología y Construcción",Medio,1,Regular
20,Masculino,4,5,No realiza actividad física,0,0,1,Regular,"Ingeniería, Tecnología y Construcción",Alto,5,Mala
22,Masculino,6,5,Deportes colectivos,1,1,6,Poca,"Ingeniería, Tecnología y Construcción",Alto,5,Regular
20,Femenino,4,5,Actividad aeróbica,0,1,1,Regular,"Ingeniería, Tecnología y Construcción",Muy alto,5,Mala
19,Femenino,6,7,Deportes colectivos,0,0,8,Bastante,"Ingeniería, Tecnología y Construcción",Alto,5,Regular
18,Masculino,6,7,Actividad aeróbica,2,1,6.5,Bastante,"Ingeniería, Tecnología y Construcción",Alto,2,Regular
19,Masculino,6,5,Actividad aeróbica,0,0,1,Regular,"Ingeniería, Tecnología y Construcción",Alto,3,Regular
18,Femenino,3,5,Actividad aeróbica,1,1,2,Mucha,Ciencias de la Salud,Alto,4,Mala
19,Masculino,8,8,Mixta,0,0,10,Bastante,Ciencias de la Salud,Alto,1,Buena
19,Masculino,5,8.5,Deportes colectivos,3,1,7.5,Regular,Ciencias de la Salud,Medio,4,Regular
