"Marca temporal","¿Qué grupo te envió la encuesta?","1. Sexo","2. ¿Cuál es tu peso actual (kg)? ","3. ¿Cuál es tu estatura en metros? ","4. Edad en años cumplidos","5. Carrera universitaria","6. Ciclo académico","7. ¿En cuántos cursos te encuentras matriculado actualmente?","8. Considerando los últimos 7 días, ¿Cuántas horas en total a la semana dedicaste a realizar actividad física (deporte, gimnasio, caminatas intensas, etc.)?","9. ¿Cuántas horas al día en promedio dedico al estudio (de lunes a viernes) sin contar las horas de clases?","10. ¿Cuál de las siguientes opciones describe mejor tu alimentación actual?","11. ¿Cuántas comidas principales (ej. desayuno, almuerzo, cena) consumes habitualmente en un día?","12. ¿Cuántas veces a la semana consumes comidas rápidas con alto contenido calórico y grasas (pizzas, hamburguesas, papas fritas, pollo frito, hot dogs, tacos)?","13. ¿Cuántos días a la semana preparas tu propia comida en casa para traerla a la universidad? (donde 0 = ningún día, 6= de lunes a sábado)","14. ¿Cuántos días a la semana realizas actividad física? (0 = ningún día , 7 = todos los días (de lunes a domingo)","15. ¿Cómo calificarías tu nivel de actividad física semanal?","16. ¿Cómo calificarías la calidad de tu sueño en general?  ","17. ¿Cuántas horas duermes en promedio por noche?  Considerar desde el momento que se recuestan y dejan de usar los dispositivos móviles hasta que se despiertan.","18. ¿Cuántas veces al mes consumes alcohol?  ( 0 = ninguna vez, 1, 2, 3, … ) ","19. ¿Qué cantidad de desayuno consumes habitualmente?","20. ¿Cuántos días a la semana consumes bebidas energéticas? (0 = ningún día de la semana, 1, 2, …, 7)","21. Cuando consumes bebidas energéticas, ¿cuántas unidades tomas por día?","22. ¿Cómo calificarías tu nivel de consumo de café o bebidas energizantes para estudiar?","23. ¿Cuál es tu percepción del nivel de estrés?","24. ¿Cuántos litros de agua pura en promedio consumes al día? Ejemplo 1.5","25. ¿Qué actividades consideras te ayudan a disminuir el nivel de estrés?","26. ¿Cuál es el motivo principal por el que realizas actividad física?","27. Qué tipo de actividad física realizas con mayor frecuencia durante el ciclo académico 2026-I?","28. ¿Cómo percibes tu estado de salud general?  ","29. ¿Padeces alguna enfermedad crónica (diabetes, asma, etc.)?  ","30. ¿Aproximadamente cuántos soles gastas en promedio al mes en productos que consideras saludables?","31. ¿Con qué frecuencia se siente con energía para realizar sus actividades diarias?","32. ¿Considera que sus hábitos de alimentación influyen en su estado de salud?","33. ¿Considera que dormir pocas horas afecta su bienestar físico y mental?","34. ¿Con qué frecuencia se siente emocionalmente bien?"
"2026/04/22 8:33:11 p. m. GMT-5","5","Masculino","72","1.70 ","18 ","Ciencias Sociales y Derecho.","3","6","2 ","4 ","Omnívora: Consume alimentos de origen animal y vegetal.","3 ","1 ","2 ","3 ","Regular","Regular","5 ","0","4","1","0","4","4","2 ","Salir a pasear o conversar con mis amigos","Recreación y socialización con amigos.","Aeróbica (correr, nadar, bicicleta).","Regular","No","100 ","Siempre","Bastante","Bastante","A veces"
"2026/04/22 8:35:42 p. m. GMT-5","5","Femenino","50","1.58","18","Ciencias Sociales y Derecho.","3","7","1","1","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","0","Bajo","Regular","6","1","3","0","0","1","1","3","Salir a pasear o conversar con mis amigos","Mejora del rendimiento físico / Estética.","No realizo actividad física.","Buena","No","40","Frecuentemente","Muy poco","Regular","Frecuentemente"
"2026/04/22 8:38:59 p. m. GMT-5","5","Masculino","80","1.68","20","Ingeniería, Tecnología y Construcción.","3","6","2","2.5","Omnívora: Consume alimentos de origen animal y vegetal.","3","3","0","4","Regular","Regular","6","0","3","3","2","2","2","2.0","Salir a pasear o conversar con mis amigos","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Regular","No","100","Frecuentemente","Regular","Bastante","Frecuentemente"
"2026/04/22 8:39:21 p. m. GMT-5","5","Masculino","74","1.72","18","Ciencias de la Salud.","1","6","2","2.5","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","5","Regular","Regular","9","0","2","0","1","0","1","1.8","Realizar actividad física","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Regular","No","200","Nunca","Poco","Bastante","Rara vez"
"2026/04/22 8:43:19 p. m. GMT-5","5","Masculino","82","1.71","25","Ciencias de la Salud.","3","6","3 ","4","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","6","2","Regular","Muy mala","5","0","1","1","0","0","3","2","Realizar actividad física","Mejora del rendimiento físico / Estética.","Deportes colectivos (futbol, basket, vóley).","Regular","No","30","A veces","Bastante","Bastante","A veces"
"2026/04/22 8:49:11 p. m. GMT-5","5","Femenino","65","1.63","19","Ciencias Sociales y Derecho.","5","6","1","2","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","4 ","0","Muy bajo","Mala","6","0","3","0","0","0","1","2.5","Salir a pasear o conversar con mis amigos","Salud general y recomendación médica.","No realizo actividad física.","Regular","Sí","50","Frecuentemente","Regular","Bastante","Frecuentemente"
"2026/04/22 8:50:13 p. m. GMT-5","5","Masculino","83","1.73","18","Ingeniería, Tecnología y Construcción.","3","6","2","4","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","1","Bajo","Mala","6","0","3","0","0","0","3","1","Jugar videojuegos","Salud general y recomendación médica.","Mixta.","Mala","No","10","A veces","Bastante","Bastante","Rara vez"
"2026/04/22 8:54:18 p. m. GMT-5","8","Femenino","67","1.68","19","Ingeniería, Tecnología y Construcción.","3","5","5","10","Omnívora: Consume alimentos de origen animal y vegetal.","2","2","1","2","Bajo","Regular","6","1","1","0","0","2","2","2","Salir a pasear o conversar con mis amigos","Recreación y socialización con amigos.","Anaeróbica (pesas, entrenamiento de fuerza).","Buena","No","30","Frecuentemente","Bastante","Bastante","Frecuentemente"
"2026/04/22 8:56:18 p. m. GMT-5","5","Masculino","70","1.75","20","Ingeniería, Tecnología y Construcción.","3","5","2","8","Omnívora: Consume alimentos de origen animal y vegetal.","2","1","0","1","Bajo","Mala","6","0","0","0","0","0","2","2.5","Realizar actividad física","Reducción de estrés y ansiedad","No realizo actividad física.","Regular","No","100","A veces","Regular","Regular","A veces"
"2026/04/22 9:01:11 p. m. GMT-5","5","Femenino","58","1.65","18","Ciencias Sociales y Derecho.","3","8","2","4.5","Vegetariana: Excluye carne y pescado.","2","2","6","7","Regular","Muy mala","6","1","3","2","2","2","3","1","Jugar videojuegos","Mejora del rendimiento físico / Estética.","Aeróbica (correr, nadar, bicicleta).","Regular","No","20","A veces","Bastante","Bastante","Siempre"
"2026/04/22 9:02:33 p. m. GMT-5","5","Masculino","52","1.65","18","Ingeniería, Tecnología y Construcción.","3","6","1","1","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","0","Muy bajo","Regular","6","1","2","0","0","0","2","1","Jugar videojuegos","Salud general y recomendación médica.","No realizo actividad física.","Buena","No","0","A veces","Bastante","Bastante","Siempre"
"2026/04/22 9:11:05 p. m. GMT-5","9","Masculino","70","1.7","25","Ingeniería, Tecnología y Construcción.","8","5","2.5","4","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","5","Regular","Mala","6","2","3","0","0","0","1","2","Jugar videojuegos","Salud general y recomendación médica.","Mixta.","Regular","No","0","A veces","Regular","Bastante","Frecuentemente"
"2026/04/22 9:11:43 p. m. GMT-5","9","Femenino","55","1.52","18","Ingeniería, Tecnología y Construcción.","3","6","3","2","Omnívora: Consume alimentos de origen animal y vegetal.","3","4","4","3","Regular","Buena","6","0","2","0","0","0","3","1","Dormir más horas que lo habitual","Reducción de estrés y ansiedad","Aeróbica (correr, nadar, bicicleta).","Regular","No","50","A veces","Poco","Bastante","Frecuentemente"
"2026/04/22 9:14:40 p. m. GMT-5","5","Femenino","60","1.6","19","Administración, Negocios y Contabilidad.","3","6","6","3","Omnívora: Consume alimentos de origen animal y vegetal.","2","1","0","4","Regular","Mala","5","1","3","3","1","2","2","1","Dormir más horas que lo habitual","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Regular","No","50","Frecuentemente","Bastante","Bastante","Frecuentemente"
"2026/04/22 9:15:32 p. m. GMT-5","9","Masculino","85","1.85","25","Ingeniería, Tecnología y Construcción.","7","6","4","8","Omnívora: Consume alimentos de origen animal y vegetal.","2","3","2","3","Regular","Regular","5","3","2","0","0","3","3","3","Jugar videojuegos","Mejora del rendimiento físico / Estética.","Mixta.","Regular","No","30","A veces","Bastante","Bastante","Frecuentemente"
"2026/04/22 9:16:53 p. m. GMT-5","5","Femenino","60","1.58","22","Ciencias de la Salud.","3","7 ","1.0","2.00","Flexitariana: Es una dieta principalmente vegetariana, pero que permite el consumo ocasional de carne o pescado.","2 ","2","0","2","Muy bajo","Muy mala","5 ","0","1","0","0","0","3","1","Salir a pasear o conversar con mis amigos","Reducción de estrés y ansiedad","Aeróbica (correr, nadar, bicicleta).","Regular","Sí","40","Rara vez","Bastante","","A veces"
"2026/04/22 9:19:32 p. m. GMT-5","8","Masculino","62","1.68","29","Humanidades, Artes y Educación.","4","7","2","6","Omnívora: Consume alimentos de origen animal y vegetal.","4","1","0","0","Muy bajo","Regular","6","4","3","0","0","1","3","2","Realizar actividad física","Mejora del rendimiento físico / Estética.","Mixta.","Buena","No","0","Frecuentemente","Regular","Bastante","Frecuentemente"
"2026/04/22 9:21:32 p. m. GMT-5","9","Masculino","71","1.69","24","Ingeniería, Tecnología y Construcción.","7","6","3","6","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","2","Bajo","Mala","6","2","1","1","1","0","2","1","Jugar videojuegos","Recreación y socialización con amigos.","Deportes colectivos (futbol, basket, vóley).","Regular","No","10","A veces","Bastante","Bastante","Rara vez"
"2026/04/22 9:23:00 p. m. GMT-5","9","Femenino","68","1.60 ","19","Ciencias Exactas y Ambientales.","1","5","8","5","Omnívora: Consume alimentos de origen animal y vegetal.","3","2","2","5","Regular","Regular","6","0","3","0","0","1","3","2","Jugar videojuegos","Recreación y socialización con amigos.","Mixta.","Buena","No","5","Rara vez","Bastante","Bastante","Frecuentemente"
"2026/04/22 9:26:48 p. m. GMT-5","5","Femenino","55","1.70","19","Humanidades, Artes y Educación.","5","3","1","3","Omnívora: Consume alimentos de origen animal y vegetal.","3","2","0","5","Bajo","Regular","7","0","3","0","0","1","4","1","Salir a pasear o conversar con mis amigos","Recreación y socialización con amigos.","No realizo actividad física.","Regular","No","50","A veces","Regular","Regular","Frecuentemente"
"2026/04/22 9:28:10 p. m. GMT-5","5","Femenino","75","1.63","18","Ciencias Sociales y Derecho.","3","5","1.50","5","Flexitariana: Es una dieta principalmente vegetariana, pero que permite el consumo ocasional de carne o pescado.","3","3","0","0","Muy bajo","Muy mala","2","0","2","0","0","0","2","1.50","Salir a pasear o conversar con mis amigos","Recreación y socialización con amigos.","No realizo actividad física.","Regular","Sí","20 ","Rara vez","Nunca","Regular","Frecuentemente"
"2026/04/22 9:32:09 p. m. GMT-5","5","Femenino","65","1.60","18","Humanidades, Artes y Educación.","3","7","1","2","Omnívora: Consume alimentos de origen animal y vegetal.","2","1","0","0","Muy bajo","Mala","7","1","0","0","0","1","3","1","Jugar videojuegos","Recreación y socialización con amigos.","No realizo actividad física.","Mala","Sí","50","Rara vez","Regular","Bastante","Rara vez"
"2026/04/22 9:33:04 p. m. GMT-5","5","Femenino","65","1.58","25","Ciencias de la Salud.","3","7","1 ","5","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","0","Muy bajo","Muy buena","8","0","3","0","0","0","4","2.5 ","Salir a pasear o conversar con mis amigos","Reducción de estrés y ansiedad","No realizo actividad física.","Regular","No","50","Frecuentemente","Bastante","Bastante","Frecuentemente"
"2026/04/22 9:35:43 p. m. GMT-5","9","Masculino","56","1.70","18","Ingeniería, Tecnología y Construcción.","1","6 ","2 ","6","Omnívora: Consume alimentos de origen animal y vegetal.","2","1","7","2","Regular","Buena","6","2","2","0","0","2","1","2","Realizar actividad física","Mejora del rendimiento físico / Estética.","Deportes colectivos (futbol, basket, vóley).","Regular","No","250","A veces","Bastante","Bastante","A veces"
"2026/04/22 9:38:19 p. m. GMT-5","5","Masculino","61","1.66","19","Ingeniería, Tecnología y Construcción.","5","5","7","4","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","2","4","Alto","Mala","7","4","1","2","1","0","3","2.5","Realizar actividad física","Mejora del rendimiento físico / Estética.","Mixta.","Regular","No","50","A veces","Poco","Regular","A veces"
"2026/04/22 9:39:40 p. m. GMT-5","5","Femenino","62","1.64","19","Humanidades, Artes y Educación.","1","6","1","4","Omnívora: Consume alimentos de origen animal y vegetal.","3","2","0","1","Bajo","Buena","7","0","3","0","0","2","2","1","Salir a pasear o conversar con mis amigos","Mejora del rendimiento físico / Estética.","Aeróbica (correr, nadar, bicicleta).","Regular","No","0","A veces","Regular","Bastante","Frecuentemente"
"2026/04/22 9:42:41 p. m. GMT-5","9","Femenino","69","1.68","20","Ingeniería, Tecnología y Construcción.","3","5","5","3","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","1","Bajo","Regular","4","0","3","0","0","3","3","1","Ir de compras","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Buena","No","150","A veces","Bastante","Bastante","Frecuentemente"
"2026/04/22 9:47:16 p. m. GMT-5","9","Femenino","50","1.54","19","Humanidades, Artes y Educación.","1","6","2.5","5.5","Vegetariana: Excluye carne y pescado.","3","2","0","3","Regular","Regular","6","0","2","1","1","1","3","1","Jugar videojuegos","Reducción de estrés y ansiedad","Deportes colectivos (futbol, basket, vóley).","Regular","No","100","Rara vez","Poco","Bastante","A veces"
"2026/04/22 9:50:42 p. m. GMT-5","5","Femenino","61","1.60","17","Humanidades, Artes y Educación.","1","6","2","2 ","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","0","2","Regular","Regular","4","0","2","0","0","0","4","1","Ir de compras","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Regular","No","0","Frecuentemente","Regular","Bastante","A veces"
"2026/04/22 9:51:16 p. m. GMT-5","9","Masculino","89","1.76","20","Ciencias de la Salud.","10","6","1.5","3","Omnívora: Consume alimentos de origen animal y vegetal.","2","3","0","2","Bajo","Regular","7 ","0","0","3","3","4","3","2","Dormir más horas que lo habitual","Reducción de estrés y ansiedad","Deportes colectivos (futbol, basket, vóley).","Regular","No","20","A veces","Bastante","Bastante","A veces"
"2026/04/22 10:00:53 p. m. GMT-5","9","Masculino","61","1.62","26","Ingeniería, Tecnología y Construcción.","9","5","1","8","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","6","1","Bajo","Mala","6","0","3","0","0","0","3","1","Salir a pasear o conversar con mis amigos","Mejora del rendimiento físico / Estética.","Aeróbica (correr, nadar, bicicleta).","Buena","No","50","Siempre","Bastante","Poco","Frecuentemente"
"2026/04/22 10:01:04 p. m. GMT-5","5","Masculino","68","1.64","18","Ciencias de la Salud.","3","6","1.5","2","Flexitariana: Es una dieta principalmente vegetariana, pero que permite el consumo ocasional de carne o pescado.","4","2","4","3","Regular","Regular","6","0","3","0","0","2","3","2","Dormir más horas que lo habitual","Mejora del rendimiento físico / Estética.","Aeróbica (correr, nadar, bicicleta).","Mala","No","40","Frecuentemente","Bastante","Bastante","A veces"
"2026/04/22 10:03:07 p. m. GMT-5","5","Masculino","70","1","17","Humanidades, Artes y Educación.","1","6","1.","1.","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","6","0","Bajo","Regular","7 ","1","3","0","0","1","3","2.0","Salir a pasear o conversar con mis amigos","Mejora del rendimiento físico / Estética.","No realizo actividad física.","Regular","No","10","A veces","Bastante","Bastante","A veces"
"2026/04/22 10:06:00 p. m. GMT-5","5","Femenino","60","1.57","20","Ciencias de la Salud.","3","6","2","7","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","3","2","Bajo","Regular","6","0","3","0","0","0","2","2 ","Dormir más horas que lo habitual","Reducción de estrés y ansiedad","Mixta.","Regular","No","30 ","A veces","Bastante","Bastante","Frecuentemente"
"2026/04/22 10:06:24 p. m. GMT-5","8","Femenino","66","1.64","20","Administración, Negocios y Contabilidad.","3","6","2","5","Omnívora: Consume alimentos de origen animal y vegetal.","3","2","0","2","Regular","Regular","8","0","4","0","0","1","3","2","Salir a pasear o conversar con mis amigos","Recreación y socialización con amigos.","Mixta.","Regular","No","50","Frecuentemente","Regular","Bastante","Frecuentemente"
"2026/04/22 10:17:10 p. m. GMT-5","8","Masculino","67","1.71","17","Ingeniería, Tecnología y Construcción.","1","6","10","1","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","2","5","Regular","Regular","8","0","3","0","0","1","2","2.5","Salir a pasear o conversar con mis amigos","Mejora del rendimiento físico / Estética.","Deportes colectivos (futbol, basket, vóley).","Buena","No","300","Frecuentemente","Bastante","Bastante","Frecuentemente"
"2026/04/22 10:21:28 p. m. GMT-5","5","Masculino","83","1.73","21","Ingeniería, Tecnología y Construcción.","6","5","4","2","Omnívora: Consume alimentos de origen animal y vegetal.","2","2","0","4","Regular","Mala","7","0","0","0","0","4","4","2","Dormir más horas que lo habitual","Mejora del rendimiento físico / Estética.","Anaeróbica (pesas, entrenamiento de fuerza).","Buena","No","100","Frecuentemente","Bastante","Bastante","A veces"
"2026/04/22 10:22:26 p. m. GMT-5","5","Masculino","70","1.65","20","Ingeniería, Tecnología y Construcción.","9","5","3","0","Omnívora: Consume alimentos de origen animal y vegetal.","3","4","0","1","Muy bajo","Regular","5","5","3","0","1","0","2","3.5","Jugar videojuegos","Mejora del rendimiento físico / Estética.","Mixta.","Regular","No","10","Nunca","Nunca","Muy poco","Rara vez"
"2026/04/22 10:25:49 p. m. GMT-5","5","Femenino","51","1.59","18","Administración, Negocios y Contabilidad.","1","7","2","2.30","Omnívora: Consume alimentos de origen animal y vegetal.","4","3","5","2","Bajo","Regular","8","0","3","0","0","0","3","1.5","Realizar actividad física","Salud general y recomendación médica.","Deportes colectivos (futbol, basket, vóley).","Buena","No","60","Frecuentemente","Regular","Regular","Frecuentemente"
"2026/04/22 10:27:18 p. m. GMT-5","5","Femenino","68","1.66","21","Ciencias Sociales y Derecho.","7","7","1","5","Omnívora: Consume alimentos de origen animal y vegetal.","3","4","0","0","Muy bajo","Regular","8","2","3","0","0","1","3","2","Salir a pasear o conversar con mis amigos","Salud general y recomendación médica.","Deportes colectivos (futbol, basket, vóley).","Regular","Sí","0","A veces","Regular","Bastante","Frecuentemente"
"2026/04/22 10:29:54 p. m. GMT-5","5","Masculino","76","1.77","19","Ingeniería, Tecnología y Construcción.","3","5","1","7","Omnívora: Consume alimentos de origen animal y vegetal.","2","3","0","0","Muy bajo","Muy mala","3","0","0","2","2","2","4","2","Salir a pasear o conversar con mis amigos","Reducción de estrés y ansiedad","No realizo actividad física.","Muy mala","No","0 ","Rara vez","Bastante","Bastante","Frecuentemente"
"2026/04/22 10:30:10 p. m. GMT-5","8","Masculino","55","1.64","17","Ingeniería, Tecnología y Construcción.","1","6","4","14","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","5","4","Bajo","Regular","6","0","3","2","1","0","2","1.5","Jugar videojuegos","Mejora del rendimiento físico / Estética.","Aeróbica (correr, nadar, bicicleta).","Regular","No","15","Frecuentemente","Bastante","Bastante","Frecuentemente"
"2026/04/22 10:32:44 p. m. GMT-5","5","Femenino","55","1.58","19","Ingeniería, Tecnología y Construcción.","5","6","2","10","Omnívora: Consume alimentos de origen animal y vegetal.","1","1","0","2","Bajo","Muy mala","4","0","0","0","0","0","4","1","Dormir más horas que lo habitual","Salud general y recomendación médica.","Anaeróbica (pesas, entrenamiento de fuerza).","Regular","No","100","A veces","Bastante","Bastante","Siempre"
"2026/04/22 10:32:46 p. m. GMT-5","9","Masculino","82","1.74","23","Ingeniería, Tecnología y Construcción.","9","8","3","2","Omnívora: Consume alimentos de origen animal y vegetal.","4","6","7","3","Regular","Mala","5","2","3","0","0","0","1","2","Realizar actividad física","Mejora del rendimiento físico / Estética.","Deportes colectivos (futbol, basket, vóley).","Buena","No","200","Frecuentemente","Regular","Bastante","Frecuentemente"
"2026/04/22 10:34:07 p. m. GMT-5","8","Masculino","73","1.83","19","Ingeniería, Tecnología y Construcción.","3","5","5","6","Omnívora: Consume alimentos de origen animal y vegetal.","3","1","4","7","Regular","Regular","8","20","3","1","1","0","0","2.7","Jugar videojuegos","Mejora del rendimiento físico / Estética.","Deportes colectivos (futbol, basket, vóley).","Regular","Sí","1","A veces","Poco","Poco","A veces"
"2026/04/22 10:34:11 p. m. GMT-5","5","Femenino","100","1.50","22","Ingeniería, Tecnología y Construcción.","10","8","1.5","18","Omnívora: Consume alimentos de origen animal y vegetal.","3","8","2","2","Muy bajo","Regular","6","1","3","0","0","3","3","3","Salir a pasear o conversar con mis amigos","Salud general y recomendación médica.","Anaeróbica (pesas, entrenamiento de fuerza).","Mala","No","50","A veces","Bastante","Bastante","A veces"
