Pos,Juego,Mes,Año,HorasV,HorasT,Streamers,MaxEsp,MaxCan,PromEsp,PromCan
105,Clash Royale,Agosto,2019,"    560,234 horas","    11,886 horas","    2,095 streamers","   10,318 espectadores",     39 canales,    754 espectadores,    15 canales
104,Clash Royale,Diciembre,2019,"    702,499 horas","    10,804 horas","    2,047 streamers","   16,230 espectadores",     39 canales,    945 espectadores,NA
141,RimWorld,Octubre,2017,"    262,158 horas","    14,479 horas","    1,544 streamers","    5,090 espectadores",     40 canales,    352 espectadores,    19 canales
147,Clash Royale,Octubre,2018,"    364,182 horas","    12,859 horas","    2,273 streamers","    8,010 espectadores",     40 canales,    490 espectadores,    17 canales
156,Clash Royale,Abril,2019,"    387,965 horas","    10,042 horas","    1,899 streamers","   17,833 espectadores",     40 canales,NA,    13 canales
34,Magic: The Gathering,Julio,2016,"  1,723,087 horas","    13,019 horas",      952 streamers,"   16,081 espectadores",     41 canales,"  2,319 espectadores",    17 canales
127,MapleStory,Noviembre,2016,"    215,912 horas","    13,993 horas","    1,197 streamers","    2,283 espectadores",     41 canales,    300 espectadores,    19 canales
86,Super Mario 64,Marzo,2017,"    428,494 horas","    11,147 horas","    1,080 streamers","    3,391 espectadores",     41 canales,    576 espectadores,    15 canales
159,Clash Royale,Diciembre,2018,"    408,328 horas","    11,473 horas","    2,144 streamers","    6,823 espectadores",     41 canales,    549 espectadores,    15 canales
115,Clash Royale,Junio,2019,"    593,497 horas","    12,213 horas","    2,008 streamers","    9,090 espectadores",     41 canales,    825 espectadores,NA
57,Retro,Junio,2016,"    479,025 horas","    14,793 horas","    1,052 streamers","    6,005 espectadores",     42 canales,    666 espectadores,    20 canales
91,Retro,Julio,2016,"    355,812 horas","    15,864 horas","    1,164 streamers","    2,345 espectadores",     42 canales,    478 espectadores,    21 canales
100,RimWorld,Marzo,2017,"    327,334 horas","    15,056 horas","    1,397 streamers","    7,195 espectadores",     42 canales,    440 espectadores,    20 canales
110,Clash Royale,Junio,2018,"    572,521 horas","    13,124 horas","    2,203 streamers","   15,148 espectadores",     42 canales,NA,    18 canales
142,Super Mario 64,Septiembre,2018,"    387,577 horas","    13,751 horas","    1,640 streamers","    9,110 espectadores",     42 canales,    539 espectadores,    19 canales
142,Super Mario 64,Diciembre,2018,"    471,240 horas","    13,132 horas","    1,465 streamers","   10,244 espectadores",     42 canales,    634 espectadores,NA
62,Warcraft III,Enero,2016,"    665,832 horas","    14,699 horas","    1,117 streamers","   21,071 espectadores",     43 canales,    896 espectadores,    19 canales
28,Magic: The Gathering,Agosto,2016,"  2,026,783 horas","    12,839 horas",      885 streamers,"   22,692 espectadores",     43 canales,"  2,727 espectadores",NA
67,RimWorld,Septiembre,2016,"    434,915 horas","    15,296 horas","    1,682 streamers","    9,882 espectadores",     43 canales,    604 espectadores,    21 canales
129,MapleStory,Abril,2017,"    250,794 horas","    15,248 horas","    1,151 streamers","    2,073 espectadores",     43 canales,    348 espectadores,    21 canales
71,Games + Demos,Enero,2018,"    839,818 horas","    16,582 horas","    3,013 streamers","   24,231 espectadores",     43 canales,NA,    22 canales
97,Clash Royale,Mayo,2018,"    609,459 horas","    13,719 horas","    2,501 streamers",NA,     43 canales,    820 espectadores,    18 canales
98,Clash Royale,Julio,2018,"    731,917 horas","    13,681 horas","    2,291 streamers","   41,444 espectadores",     43 canales,    985 espectadores,    18 canales
125,Super Mario 64,Noviembre,2018,"    521,443 horas","    13,693 horas","    1,521 streamers","    9,811 espectadores",     43 canales,NA,    19 canales
141,Clash Royale,Noviembre,2018,"    407,268 horas","    12,612 horas","    2,291 streamers","    6,816 espectadores",     43 canales,NA,    17 canales
135,Super Mario 64,Octubre,2019,"    444,285 horas","    12,141 horas","    1,394 streamers","    5,948 espectadores",     43 canales,    597 espectadores,    16 canales
129,7 Days to Die,Enero,2016,"    269,681 horas","    12,131 horas","    1,240 streamers","    4,405 espectadores",     44 canales,    362 espectadores,    16 canales
116,7 Days to Die,Mayo,2016,"    195,722 horas","    11,696 horas","    1,245 streamers","    4,507 espectadores",     44 canales,NA,NA
112,MapleStory,Julio,2016,"    304,397 horas","    17,251 horas","    1,560 streamers","    1,181 espectadores",     44 canales,    409 espectadores,    23 canales
102,Clash Royale,Abril,2018,"    540,195 horas","    13,313 horas","    2,277 streamers","   13,900 espectadores",     44 canales,    751 espectadores,    18 canales
132,Super Mario 64,Mayo,2018,"    401,873 horas","    14,065 horas","    1,824 streamers",NA,     44 canales,    540 espectadores,    18 canales
129,Super Mario 64,Julio,2018,"    515,033 horas","    14,732 horas","    1,905 streamers",NA,     44 canales,    693 espectadores,NA
123,Clash Royale,Septiembre,2018,"    463,538 horas","    13,061 horas","    2,558 streamers","   12,780 espectadores",     44 canales,    644 espectadores,    18 canales
118,Super Mario 64,Octubre,2018,"    578,229 horas","    14,094 horas","    1,565 streamers","   71,197 espectadores",     44 canales,    778 espectadores,    18 canales
93,Super Mario 64,Diciembre,2019,"    838,087 horas","    14,421 horas","    1,636 streamers","   27,969 espectadores",     44 canales,NA,    19 canales
33,Magic: The Gathering,Junio,2016,"  1,537,509 horas","    13,395 horas",      979 streamers,"   13,116 espectadores",     45 canales,"  2,138 espectadores",    18 canales
31,Magic: The Gathering,Octubre,2016,"  2,245,408 horas","    12,723 horas",      963 streamers,"   29,319 espectadores",     45 canales,"  3,022 espectadores",    17 canales
107,The Sims 4,Abril,2017,"    332,875 horas","    14,362 horas","    2,225 streamers","   10,779 espectadores",     45 canales,    462 espectadores,    19 canales
39,Super Mario 64,Agosto,2017,"  1,508,041 horas","    15,848 horas","    1,796 streamers","   12,341 espectadores",     45 canales,NA,    21 canales
86,Games + Demos,Agosto,2017,"    597,417 horas","    12,951 horas","    2,329 streamers","   28,927 espectadores",     45 canales,    804 espectadores,    17 canales
146,MapleStory,Agosto,2017,"    271,873 horas","    19,620 horas","    1,703 streamers","    2,405 espectadores",     45 canales,    365 espectadores,    26 canales
103,RimWorld,Septiembre,2017,"    410,785 horas","    16,018 horas","    1,739 streamers","    5,127 espectadores",     45 canales,NA,NA
143,MapleStory,Septiembre,2017,"    252,055 horas","    16,320 horas","    1,414 streamers","    4,094 espectadores",     45 canales,    350 espectadores,NA
84,Games + Demos,Noviembre,2017,"    655,016 horas","    13,761 horas","    2,401 streamers","   23,117 espectadores",     45 canales,    911 espectadores,    19 canales
133,Super Mario 64,Febrero,2018,"    296,606 horas","    12,817 horas","    1,607 streamers","   10,236 espectadores",     45 canales,    442 espectadores,    19 canales
124,Super Mario 64,Agosto,2018,"    449,370 horas","    15,888 horas","    1,682 streamers","    6,518 espectadores",     45 canales,    604 espectadores,    21 canales
171,Super Mario 64,Enero,2019,"    409,483 horas","    14,546 horas","    1,577 streamers","    4,689 espectadores",     45 canales,    551 espectadores,NA
128,Super Mario 64,Febrero,2019,"    499,206 horas","    13,115 horas","    1,518 streamers","   18,412 espectadores",     45 canales,    743 espectadores,    19 canales
108,Clash Royale,Julio,2019,"    574,769 horas","    13,416 horas","    2,224 streamers","   13,385 espectadores",     45 canales,    773 espectadores,    18 canales
99,Clash Royale,Febrero,2020,"    864,234 horas","    12,474 horas","    2,148 streamers","   17,622 espectadores",     45 canales,"  1,243 espectadores",    17 canales
55,Warcraft III,Febrero,2016,"    886,470 horas","    15,140 horas","    1,062 streamers","   26,558 espectadores",     46 canales,"  1,275 espectadores",    21 canales
42,Magic: The Gathering,Marzo,2016,"  1,372,570 horas","    14,373 horas",      991 streamers,"   20,496 espectadores",     46 canales,"  1,847 espectadores",NA
82,The Sims 4,Junio,2016,"    349,027 horas","    11,227 horas","    1,942 streamers","   19,325 espectadores",     46 canales,NA,NA
87,Super Mario 64,Junio,2016,"    322,945 horas","     8,586 horas","    1,082 streamers","   14,336 espectadores",     46 canales,    449 espectadores,    11 canales
84,Super Mario 64,Enero,2020,"  1,138,031 horas","    15,303 horas","    1,791 streamers","  169,684 espectadores",     46 canales,"  1,531 espectadores",    20 canales
90,Tibia,Marzo,2016,"    324,410 horas","    13,938 horas","    1,062 streamers","    2,078 espectadores",     47 canales,NA,NA
48,Warcraft III,Junio,2016,"    879,187 horas","    16,989 horas","    1,272 streamers","   16,571 espectadores",     47 canales,NA,    23 canales
146,MapleStory,Mayo,2017,"    216,734 horas","    15,725 horas","    1,473 streamers","    1,500 espectadores",     47 canales,    291 espectadores,    21 canales
57,Super Mario 64,Julio,2017,"  1,177,213 horas","    15,226 horas","    1,810 streamers","  219,476 espectadores",     47 canales,"  1,584 espectadores",    20 canales
73,Tibia,Mayo,2016,"    382,399 horas","    14,333 horas","    1,131 streamers",NA,     48 canales,    514 espectadores,    19 canales
44,Warcraft III,Agosto,2016,"    940,813 horas","    15,969 horas","    1,160 streamers",NA,     48 canales,"  1,266 espectadores",    21 canales
70,Retro,Agosto,2016,"    455,337 horas","    17,896 horas","    1,247 streamers","    4,374 espectadores",     48 canales,    612 espectadores,    24 canales
49,Warcraft III,Septiembre,2016,"    703,585 horas","    15,832 horas","    1,087 streamers",NA,     48 canales,    978 espectadores,    22 canales
71,Tibia,Septiembre,2016,"    380,296 horas","    15,650 horas","    1,284 streamers","    1,919 espectadores",     48 canales,    528 espectadores,NA
124,MapleStory,Junio,2017,"    267,993 horas","    18,004 horas","    1,654 streamers","    1,419 espectadores",     48 canales,NA,    25 canales
79,RimWorld,Julio,2017,"    672,486 horas","    18,898 horas","    2,030 streamers","    7,240 espectadores",     48 canales,    905 espectadores,    25 canales
98,Super Mario 64,Agosto,2019,"    667,912 horas","    15,861 horas","    1,861 streamers","   23,076 espectadores",     48 canales,    898 espectadores,NA
81,Clash Royale,Enero,2020,"  1,169,765 horas","    14,253 horas","    2,644 streamers","   34,472 espectadores",     48 canales,"  1,574 espectadores",    19 canales
52,Warcraft III,Diciembre,2016,"  1,085,827 horas","    19,475 horas",      408 streamers,"   21,581 espectadores",     49 canales,"  1,461 espectadores",    26 canales
42,Magic: The Gathering,Enero,2017,"  1,831,068 horas","    13,812 horas","    1,159 streamers","   21,464 espectadores",     49 canales,"  2,464 espectadores",NA
99,RimWorld,Febrero,2017,"    397,772 horas","    17,033 horas","    1,667 streamers","    8,646 espectadores",     49 canales,    592 espectadores,NA
46,Clash Royale,Diciembre,2017,"  1,549,831 horas","    14,910 horas","    2,518 streamers","   74,923 espectadores",     49 canales,NA,    20 canales
156,Super Mario 64,Enero,2018,"    285,287 horas","    13,941 horas","    1,769 streamers","    9,278 espectadores",     49 canales,    383 espectadores,    18 canales
105,Super Mario 64,Abril,2018,"    531,157 horas","    15,388 horas","    1,915 streamers","    9,634 espectadores",     49 canales,NA,    21 canales
29,Magic: The Gathering,Enero,2016,"  2,187,509 horas","    13,939 horas","    1,015 streamers","   21,482 espectadores",     50 canales,"  2,944 espectadores",    18 canales
74,Tibia,Febrero,2016,"    429,368 horas","    14,907 horas","    1,158 streamers","    3,775 espectadores",     50 canales,    617 espectadores,    21 canales
34,Magic: The Gathering,Mayo,2016,"  1,749,555 horas","    14,516 horas",      959 streamers,"   18,101 espectadores",     50 canales,"  2,354 espectadores",    19 canales
53,Warcraft III,Octubre,2016,"    800,116 horas","    16,943 horas","    1,030 streamers","   10,016 espectadores",     50 canales,"  1,076 espectadores",    22 canales
68,Tibia,Octubre,2016,"    503,982 horas","    17,877 horas","    1,349 streamers",NA,     50 canales,    678 espectadores,    24 canales
91,RimWorld,Junio,2017,"    439,216 horas","    17,767 horas","    1,998 streamers","   16,299 espectadores",     50 canales,    610 espectadores,    24 canales
165,MapleStory,Octubre,2017,"    218,041 horas","    18,337 horas","    1,504 streamers","    2,826 espectadores",     50 canales,    293 espectadores,    24 canales
81,Super Mario 64,Febrero,2020,"  1,030,422 horas","    15,853 horas","    1,904 streamers",NA,     50 canales,"  1,482 espectadores",    22 canales
81,Tibia,Enero,2016,"    441,300 horas","    15,929 horas","    1,289 streamers","    4,829 espectadores",     51 canales,    593 espectadores,    21 canales
68,Dungeons & Dragons,Marzo,2016,"    522,169 horas","     8,143 horas",      839 streamers,"   20,871 espectadores",     51 canales,    702 espectadores,    10 canales
47,Clash Royale,Agosto,2016,"    832,936 horas","    16,131 horas","    2,756 streamers","    6,122 espectadores",     51 canales,"  1,121 espectadores",    21 canales
142,Clash Royale,Agosto,2024,"  1,071,973 horas","    18,248 horas","    8,831 streamers","    9,911 espectadores",     51 canales,"  1,442 espectadores",    24 canales
66,Dungeons & Dragons,Febrero,2016,"    531,034 horas","     8,032 horas",      842 streamers,"   20,772 espectadores",     52 canales,    764 espectadores,NA
117,7 Days to Die,Abril,2016,"    212,199 horas","    15,614 horas","    1,439 streamers","    3,993 espectadores",     52 canales,    295 espectadores,    21 canales
53,Warcraft III,Julio,2016,"    754,280 horas","    17,565 horas","    1,194 streamers","    6,048 espectadores",     52 canales,"  1,015 espectadores",NA
86,The Sims 4,Noviembre,2016,"    462,928 horas","    13,669 horas","    2,372 streamers","   13,953 espectadores",     52 canales,    643 espectadores,    19 canales
51,Dungeons & Dragons,Junio,2016,"    703,257 horas","     8,747 horas",      925 streamers,"   26,583 espectadores",     53 canales,    978 espectadores,NA
54,Warcraft III,Noviembre,2016,"    802,697 horas","    16,742 horas","    1,050 streamers",NA,     53 canales,"  1,116 espectadores",NA
84,Retro,Diciembre,2016,"    524,743 horas","    21,898 horas",      590 streamers,"    3,142 espectadores",     53 canales,    706 espectadores,    29 canales
114,MapleStory,Enero,2017,"    424,077 horas","    21,518 horas","    1,772 streamers","    4,611 espectadores",     53 canales,    570 espectadores,NA
97,MapleStory,Marzo,2017,"    340,281 horas","    18,448 horas","    1,309 streamers",NA,     53 canales,    457 espectadores,    24 canales
152,MapleStory,Noviembre,2017,"    236,708 horas","    17,976 horas","    1,592 streamers","    3,428 espectadores",     53 canales,    329 espectadores,    25 canales
144,RimWorld,Mayo,2018,"    359,256 horas","    17,694 horas","    1,970 streamers","    4,141 espectadores",     53 canales,    483 espectadores,    23 canales
163,Warcraft III,Mayo,2024,"    868,095 horas","    17,069 horas","    1,238 streamers","    6,497 espectadores",     53 canales,"  1,168 espectadores",    22 canales
129,Clash Royale,Julio,2024,"  1,029,918 horas","    18,743 horas","    9,200 streamers","    7,863 espectadores",     53 canales,"  1,386 espectadores",    25 canales
74,Dungeons & Dragons,Enero,2016,"    495,929 horas","     7,820 horas",      767 streamers,"   20,239 espectadores",     54 canales,    667 espectadores,    10 canales
29,Magic: The Gathering,Febrero,2016,"  2,389,863 horas","    14,983 horas","    1,099 streamers","   42,656 espectadores",     54 canales,NA,NA
54,Warcraft III,Mayo,2017,"    927,665 horas","    19,766 horas","    1,273 streamers","   17,141 espectadores",     54 canales,"  1,248 espectadores",    26 canales
74,Super Mario 64,Octubre,2017,"    723,815 horas","    13,950 horas","    1,720 streamers","    7,435 espectadores",     54 canales,    974 espectadores,    18 canales
103,RimWorld,Febrero,2018,"    470,768 horas","    16,938 horas","    1,907 streamers","    5,295 espectadores",     54 canales,    701 espectadores,    25 canales
76,Clash Royale,Marzo,2018,"    847,845 horas","    15,761 horas","    2,608 streamers","   19,491 espectadores",     54 canales,"  1,141 espectadores",    21 canales
122,Super Mario 64,Julio,2019,"    505,241 horas","    16,372 horas","    1,913 streamers","   28,244 espectadores",     54 canales,    680 espectadores,NA
40,Warcraft III,Marzo,2016,"  1,445,333 horas","    18,158 horas","    1,219 streamers","   41,269 espectadores",     55 canales,"  1,945 espectadores",    24 canales
50,Warcraft III,Mayo,2016,"    890,484 horas","    17,219 horas","    1,208 streamers","   11,151 espectadores",     55 canales,"  1,198 espectadores",NA
64,Retro,Octubre,2016,"    555,806 horas","    20,721 horas","    1,470 streamers","    4,975 espectadores",     55 canales,    748 espectadores,    27 canales
93,MapleStory,Febrero,2017,"    475,032 horas","    18,601 horas","    1,481 streamers","   13,117 espectadores",     55 canales,    707 espectadores,    27 canales
124,The Sims 4,Marzo,2017,"    255,219 horas","    15,944 horas","    2,393 streamers","    4,382 espectadores",     55 canales,    343 espectadores,    21 canales
35,Magic: The Gathering,Octubre,2017,"  2,376,036 horas","    16,301 horas","    1,248 streamers","   20,395 espectadores",     55 canales,NA,    21 canales
115,RimWorld,Marzo,2018,"    399,038 horas","    17,244 horas","    2,027 streamers","    4,405 espectadores",     55 canales,    537 espectadores,    23 canales
161,Warcraft III,Diciembre,2023,"    880,835 horas","    19,805 horas","    1,458 streamers","    7,465 espectadores",     55 canales,"  1,185 espectadores",    26 canales
151,Warcraft III,Junio,2024,"    843,927 horas","    16,279 horas","    1,184 streamers","   10,794 espectadores",     55 canales,"  1,173 espectadores",NA
28,Magic: The Gathering,Abril,2016,"  2,167,666 horas","    14,775 horas","    1,073 streamers","   27,090 espectadores",     56 canales,"  3,014 espectadores",NA
50,Dungeons & Dragons,Abril,2016,"    819,339 horas","     9,012 horas",      869 streamers,"   25,383 espectadores",     56 canales,"  1,139 espectadores",    12 canales
58,Warcraft III,Abril,2017,"    800,100 horas","    18,962 horas","    1,082 streamers","    7,194 espectadores",     56 canales,NA,    26 canales
135,MapleStory,Julio,2017,"    349,986 horas","    23,121 horas","    1,869 streamers","    1,991 espectadores",     56 canales,    471 espectadores,    31 canales
59,Games + Demos,Marzo,2018,"  1,187,992 horas","    21,627 horas","    3,856 streamers","   21,161 espectadores",     56 canales,NA,NA
119,RimWorld,Abril,2018,"    425,754 horas","    18,994 horas","    2,068 streamers","    5,598 espectadores",     56 canales,    592 espectadores,    26 canales
29,Magic: The Gathering,Febrero,2017,"  2,422,158 horas","    13,445 horas","    1,086 streamers","   32,674 espectadores",     57 canales,NA,    20 canales
50,Warcraft III,Marzo,2017,"  1,084,634 horas","    19,994 horas","    1,193 streamers","   22,479 espectadores",     57 canales,NA,    26 canales
148,The Sims 4,Julio,2017,"    309,906 horas","    20,412 horas","    3,642 streamers","   29,156 espectadores",     57 canales,    417 espectadores,    27 canales
123,The Sims 4,Agosto,2017,"    343,428 horas","    21,550 horas","    3,748 streamers","   14,934 espectadores",     57 canales,    462 espectadores,    29 canales
38,Magic: The Gathering,Noviembre,2017,"  2,181,898 horas","    16,691 horas","    1,255 streamers","   31,768 espectadores",     57 canales,"  3,034 espectadores",    23 canales
66,Warcraft III,Noviembre,2017,"    840,519 horas","    19,980 horas","    1,279 streamers","    9,913 espectadores",     57 canales,"  1,169 espectadores",    27 canales
55,Clash Royale,Enero,2018,"  1,263,488 horas","    16,686 horas","    2,637 streamers","   19,143 espectadores",     57 canales,"  1,700 espectadores",    22 canales
136,Warcraft III,Abril,2024,"  1,202,334 horas","    17,646 horas","    1,387 streamers","   21,955 espectadores",     57 canales,"  1,672 espectadores",    24 canales
192,7 Days to Die,Marzo,2016,"     99,191 horas","     8,504 horas",      932 streamers,"    4,817 espectadores",     58 canales,    133 espectadores,    11 canales
58,Music,Diciembre,2016,"    993,775 horas","    20,256 horas","    1,048 streamers","    6,530 espectadores",     58 canales,"  1,337 espectadores",    27 canales
