Cod,Nombre,Calidad,Precio,Peso,L,A,E
0080475.0380000863,Huayruru,Estándar,49.99,115,2B9,138,4
0270476.0403000906,Rosewood East Indian,Estándar,799.99,192,456,127,4
0120477.1531002020,Marupa,Premium,319.99,236,221,195,B
0080478.0505000991,Huayruru,Buena,79.99,122.5,240,125,6
0100479.0508000997,Machiche,Buena,119.99,240,230,174,8
0170480.0528001025,Quinilla,Buena,39.99,75,194,107,P
0060481.0527001014,Estoraque,Buena,39.99,80,2CC,137,4
0170482.1389001888,Quinilla,Excelente,189.99,92.5,185,122,6
0120483.1523002018,Marupa,Premium,239.99,181.5,236,188,6
0200484.1033001537,Rosa Morada,Excelente,169.99,174.5,272,142,7
0050485.0482000972,Cumarú,Estándar,29.99,69.5,364,132,2
0200486.0927001433,Rosa Morada,Buena,89.99,213,333,141,6
0150487.1494001996,Parota,Excelente,59.99,98,206,116,6
0120488.1873002373,Marupa,Premium,529.99,150,193,163,7
0030489.0628001120,Cachimbo,Buena,109.99,165,260,177,6
0250490.0458000973,Teak Burma,Estándar,479.99,93,340,NA,Z
0240491.0205000720,Greenheart,Básica,179.99,243,575,NA,NA
0100492.0442000944,Machiche,Estándar,39.99,101,452,163,Z
0190493.0497001009,Tzalam,Estándar,59.99,170,375,166,4
0070494.0992001493,Haya,Buena,249.99,144,2CB,193,6
0110495.1100001606,Maple,Excelente,129.99,180.5,157,199,NA
0080496.0845001349,Huayruru,Buena,109.99,181.5,260,126,7
0110497.0978001486,Maple,Buena,69.99,132.5,214,129,7
0220498.0509001029,Guayacán,Buena,1159.99,255,246,191,NA
0100499.0343000852,Machiche,Estándar,59.99,219,524,137,4
0010500.1728002229,Caoba,Premium,399.99,120.5,194,172,P
0260501.0430000957,Satinwood,Estándar,289.99,79,236,184,Z
0110502.1105001618,Maple,Excelente,89.99,95,3C9,112,4
0030503.0761001267,Cachimbo,Buena,79.99,139.5,NA,184,6
0100504.0442000956,Machiche,Estándar,69.99,205,521,166,NA
0120505.1404001921,Marupa,Excelente,39.99,80,157,1O1,7
0130506.0618001137,Nogal Americano,Buena,179.99,101,319,111,5
0260507.0520001053,Satinwood,Buena,1939.99,293,314,J43,8
0120508.1623002143,Marupa,Premium,459.99,288,33O,183,7
0130509.0329000851,Nogal Americano,Estándar,99.99,112.5,35O,134,NA
0110510.1011001532,Maple,Excelente,99.99,157,2ll,129,B
0150511.0543001069,Parota,Buena,89.99,218.5,334,191,6
0210512.0630001163,Ébano,Buena,409.99,168.5,214,NA,5
0090513.0876001398,Katalox,Buena,209.99,371,335,1S7,7
0240514.0497001035,Greenheart,Estándar,169.99,229,441,12S,4
0170515.0584001116,Quinilla,Buena,79.99,152,266,113,7
0020516.0957001475,Cedro Cedrela,Buena,69.99,122,297,120,6
0110517.0957001485,Maple,Buena,89.99,168.5,230,JS3,7
0150518.1963002496,Parota,Premium,739.99,208.5,NA,196,7
0030519.0628001150,Cachimbo,Buena,79.99,120.5,236,14Z,6
0070520.1083001610,Haya,Excelente,99.99,115.5,217,184,4
0050521.0487001013,Cumarú,Estándar,49.99,121,479,108,3
0080522.0311000841,Huayruru,Estándar,39.99,110.5,307,175,3
0030523.0876001402,Cachimbo,Buena,69.99,111,321,127,NA
0240524.0273000821,Greenheart,Básica,269.99,321.5,572,NA,4
0250525.0705001255,Teak Burma,Buena,719.99,92,243,105,P
0090526.0740001275,Katalox,Buena,99.99,211.5,NA,177,8
0240527.0367000918,Greenheart,Estándar,169.99,214,576,l9l,NA
0130528.0796001337,Nogal Americano,Buena,139.99,113,237,175,4
0250529.0212000766,Teak Burma,Básica,699.99,105,533,NA,3
0110530.1552002093,Maple,Premium,839.99,249,253,NA,7
0010531.0883001415,Caoba,Buena,69.99,99.5,246,118,6
0270532.0268000827,Rosewood East Indian,Básica,409.99,106,258,JH0,3
0070533.0650001190,Haya,Buena,69.99,129,162,167,7
0090534.0788001331,Katalox,Buena,149.99,270.5,280,142,7
0260535.0335000896,Satinwood,Estándar,749.99,144,349,175,3
0010536.1273001810,Caoba,Excelente,179.99,75,J55,NA,6
0100537.0531001078,Machiche,Buena,49.99,90,165,159,5
0270538.0537001102,Rosewood East Indian,Buena,1099.99,218.5,3l6,132,6
0120539.1116001667,Marupa,Excelente,119.99,146.5,297,165,5
0260540.0374000940,Satinwood,Estándar,479.99,98.5,219,136,4
0050541.0341000887,Cumarú,Estándar,69.99,186.5,490,187,3
0240542.0163000729,Greenheart,Básica,89.99,98,NA,141,4
0060543.0277000826,Estoraque,Básica,59.99,132.5,444,146,3
0170544.0722001283,Quinilla,Buena,99.99,139.5,19S,1H9,NA
0240545.0263000832,Greenheart,Básica,149.99,202.5,NA,165,NA
0180546.0537001101,Tornillo,Buena,59.99,136.5,263,101,7
0200547.0788001355,Rosa Morada,Buena,59.99,142.5,Z51,166,5
0230548.0738001309,Macassar Ebony,Buena,979.99,190,201,124,7
0200549.1037001606,Rosa Morada,Excelente,109.99,174.5,222,197,5
0100550.0635001195,Machiche,Buena,79.99,130.5,208,145,6
0140551.1584002149,Okumé,Premium,189.99,125.5,188,167,7
0240552.0499001075,Greenheart,Estándar,129.99,154.5,452,11C,3
0130553.0746001312,Nogal Americano,Buena,99.99,88,1S2,121,7
0030554.1254001811,Cachimbo,Excelente,339.99,146,179,195,7
0070555.0980001542,Haya,Buena,89.99,171.5,252,157,6
0050556.0641001202,Cumarú,Buena,109.99,158,243,141,7
0170557.0522001096,Quinilla,Buena,119.99,220,2S4,15B,8
0210558.0627001206,Ébano,Buena,719.99,247,288,113,7
0210559.0636001216,Ébano,Buena,1559.99,438,35O,150,8
0090560.1229001798,Katalox,Excelente,389.99,259,340,119,7
0060561.0545001112,Estoraque,Buena,79.99,154,340,124,5
0150562.1624002201,Parota,Premium,389.99,249,287,181,7
0080563.0374000945,Huayruru,Estándar,99.99,226.5,494,168,4
0020564.0995001561,Cedro Cedrela,Buena,129.99,241,341,197,6
0140565.1311001890,Okumé,Excelente,49.99,110,191,114,7
0140566.1990002570,Okumé,Premium,499.99,118,285,145,5
0200567.0962001549,Rosa Morada,Buena,59.99,104,170,149,6
0270568.0221000816,Rosewood East Indian,Básica,449.99,134.5,399,l54,3
0130569.0327000909,Nogal Americano,Estándar,119.99,132,S03,146,3
0100570.0442001022,Machiche,Estándar,9.99,34.5,205,117,2
0250571.0376000972,Teak Burma,Estándar,749.99,123.5,264,171,4
0140572.2000002586,Okumé,Premium,479.99,135,172,191,6
0200573.0960001553,Rosa Morada,Buena,109.99,191.5,3ll,129,7
0130574.0324000911,Nogal Americano,Estándar,99.99,111,350,177,3
0070575.0958001540,Haya,Buena,119.99,230.5,276,193,NA
0200576.0938001534,Rosa Morada,Buena,59.99,141.5,302,1O1,6
0240577.0187000788,Greenheart,Básica,99.99,116,299,150,3
0210578.0762001361,Ébano,Buena,409.99,165.5,225,126,S
0120579.1139001730,Marupa,Excelente,79.99,95,218,146,5
0150580.1625002220,Parota,Premium,219.99,148,291,141,S
0130581.0483001077,Nogal Americano,Estándar,219.99,180,4Z9,184,4
0100582.0442001034,Machiche,Estándar,19.99,59.5,257,ll3,3
0260583.0646001255,Satinwood,Buena,1509.99,227.5,Z09,187,7
0120584.1489002085,Marupa,Excelente,259.99,114,228,139,6
0250585.0458001068,Teak Burma,Estándar,999.99,191.5,409,16R,4
0140586.1756002356,Okumé,Premium,159.99,86,267,113,5
0030587.0766001356,Cachimbo,Buena,89.99,163.5,212,188,6
0200588.0878001486,Rosa Morada,Buena,79.99,174,222,164,NA
0210589.0652001262,Ébano,Buena,1029.99,329.5,336,151,NA
0250590.0467001082,Teak Burma,Estándar,589.99,98.5,41H,163,2
0140591.1617002222,Okumé,Premium,189.99,120,26H,196,4
0230592.0255000870,Macassar Ebony,Básica,589.99,156.5,300,179,3
0090593.0652001254,Katalox,Buena,139.99,285,ZZ8,195,7
0270594.0333000954,Rosewood East Indian,Estándar,919.99,244.5,458,166,4
0030595.0835001433,Cachimbo,Buena,69.99,141,223,146,6
0100596.0994001600,Machiche,Buena,249.99,172,NA,194,5
0100597.0531001138,Machiche,Buena,59.99,106,185,167,5
0190598.0799001416,Tzalam,Buena,109.99,158.5,246,135,7
0240599.0230000853,Greenheart,Básica,99.99,138,573,135,2
0030600.0836001439,Cachimbo,Buena,29.99,57,155,102,P
0090601.0785001395,Katalox,Buena,89.99,203,227,145,6
0090602.1211001822,Katalox,Excelente,249.99,162,NA,151,6
0260603.0448001077,Satinwood,Estándar,459.99,126,431,106,3
0250604.0207000836,Teak Burma,Básica,519.99,94.5,227,174,4
0110605.1077001693,Maple,Excelente,79.99,116,2BC,115,S
0260606.0449001081,Satinwood,Estándar,199.99,54.5,222,134,2
0250607.0375001007,Teak Burma,Estándar,339.99,59.5,NA,138,2
0050608.0999001612,Cumarú,Buena,209.99,139,212,l92,5
0100609.0531001150,Machiche,Buena,79.99,158,238,164,NA
0030610.0973001586,Cachimbo,Buena,139.99,222.5,237,186,7
0080611.0374000993,Huayruru,Estándar,79.99,172.5,597,NA,3
0230612.0404001039,Macassar Ebony,Estándar,909.99,247,445,17O,3
0180613.0361000992,Tornillo,Estándar,19.99,53.5,326,120,NA
0200614.1423002057,Rosa Morada,Excelente,479.99,241.5,322,153,7
0120615.1604002231,Marupa,Premium,189.99,149.5,218,190,S
0050616.0641001262,Cumarú,Buena,139.99,214,284,129,8
0040617.0535001156,Chechen,Buena,69.99,118.5,330,131,4
0120618.1431002061,Marupa,Excelente,139.99,217.5,319,143,7
0100619.0400001029,Machiche,Estándar,19.99,64.5,236,189,2
0040620.1640002264,Chechen,Premium,429.99,127.5,210,168,5
0200621.0955001596,Rosa Morada,Buena,69.99,124,256,144,5
0100622.0635001267,Machiche,Buena,119.99,170,226,183,6
0070623.0650001280,Haya,Buena,99.99,189,319,124,7
0120624.1047001683,Marupa,Excelente,99.99,133,322,138,5
0140625.1392002031,Okumé,Excelente,69.99,138.5,286,112,6
0050626.1104001735,Cumarú,Excelente,259.99,145.5,250,123,6
0240627.0327000978,Greenheart,Estándar,179.99,250.5,520,169,3
0060628.0504001138,Estoraque,Buena,99.99,151,159,199,7
0020629.1890002521,Cedro Cedrela,Premium,259.99,177,202,183,H
0130630.1032001675,Nogal Americano,Excelente,179.99,140,190,170,6
0170631.0778001426,Quinilla,Buena,109.99,162,313,152,S
0200632.1414002066,Rosa Morada,Excelente,309.99,154.5,319,118,6
0240633.0357001014,Greenheart,Estándar,199.99,306,533,198,3
0140634.1764002412,Okumé,Premium,239.99,133.5,RO4,1H2,6
0270635.0211000873,Rosewood East Indian,Básica,299.99,88.5,2O8,197,3
0270636.0489001152,Rosewood East Indian,Estándar,699.99,183.5,452,152,3
0080637.0465001110,Huayruru,Estándar,119.99,238,499,174,4
0100638.0994001642,Machiche,Buena,189.99,123,251,180,4
0170639.0534001190,Quinilla,Buena,89.99,156.5,223,1S0,7
0270640.0211000878,Rosewood East Indian,Básica,429.99,106.5,324,1S2,3
0170641.0437001095,Quinilla,Estándar,69.99,147.5,344,17O,4
0070642.0605001254,Haya,Buena,89.99,181,223,148,B
0270643.0242000912,Rosewood East Indian,Básica,319.99,80,4l5,129,2
0070644.0992001643,Haya,Buena,309.99,180.5,28C,154,7
0200645.0986001651,Rosa Morada,Buena,89.99,159,231,159,6
0200646.1095001761,Rosa Morada,Excelente,139.99,164,267,166,5
0030647.0766001416,Cachimbo,Buena,109.99,194,289,196,5
0060648.0351001005,Estoraque,Estándar,49.99,96.5,SS7,127,R
0230649.0349001021,Macassar Ebony,Estándar,609.99,146,579,126,NA
0010650.1728002379,Caoba,Premium,359.99,106.5,234,1Z6,5
0050651.0510001166,Cumarú,Buena,89.99,159,277,144,6
0230652.0630001305,Macassar Ebony,Buena,1059.99,182.5,186,143,7
0050653.0482001140,Cumarú,Estándar,29.99,66,232,NA,3
0200654.0882001556,Rosa Morada,Buena,99.99,199,263,1S7,7
0170655.0686001358,Quinilla,Buena,69.99,124,313,137,4
0120656.1336002004,Marupa,Excelente,289.99,119,302,138,5
0030657.0789001449,Cachimbo,Buena,109.99,189.5,264,131,NA
0250658.0369001052,Teak Burma,Estándar,1079.99,197.5,596,162,3
0050659.0482001146,Cumarú,Estándar,39.99,92,NA,116,2
0130660.1142001815,Nogal Americano,Excelente,189.99,123,214,114,7
0150661.0572001248,Parota,Buena,39.99,79.5,184,l08,7
0100662.0994001666,Machiche,Buena,149.99,99.5,224,108,6
0230663.0376001062,Macassar Ebony,Estándar,799.99,233.5,416,169,3
0050664.0641001310,Cumarú,Buena,169.99,262.5,312,197,6
0210665.0523001209,Ébano,Buena,859.99,257,NA,179,5
0170666.0333001016,Quinilla,Estándar,79.99,166.5,560,16S,3
0100667.0435001112,Machiche,Estándar,89.99,226.5,489,169,NA
0130668.0949001630,Nogal Americano,Buena,169.99,111,R01,135,6
0010669.0964001634,Caoba,Buena,79.99,125,212,164,6
0180670.0735001423,Tornillo,Buena,99.99,150,299,139,5
0140671.1584002269,Okumé,Premium,79.99,49,NA,112,4
0170672.0793001482,Quinilla,Buena,79.99,126,207,178,S
0270673.0256000956,Rosewood East Indian,Básica,579.99,158,560,187,2
0050674.0999001678,Cumarú,Buena,139.99,99.5,184,142,5
0030675.0863001541,Cachimbo,Buena,69.99,128,179,165,6
0240676.0296000996,Greenheart,Básica,189.99,210.5,493,1S8,3
0130677.0647001337,Nogal Americano,Buena,149.99,167.5,259,1H9,5
0120678.1431002121,Marupa,Excelente,129.99,197,R58,14O,NA
0130679.0310001002,Nogal Americano,Estándar,69.99,80.5,481,140,2
0210680.0971001672,Ébano,Buena,769.99,268.5,28O,131,6
0120681.0986001679,Marupa,Buena,89.99,132.5,302,NA,7
0240682.0180000886,Greenheart,Básica,159.99,184.5,312,J73,NA
0100683.0508001201,Machiche,Buena,149.99,268.5,347,189,6
0130684.0351001048,Nogal Americano,Estándar,149.99,164,SBS,156,3
0160685.1031001732,Pucté,Excelente,39.99,76.5,156,113,6
0270686.0318001031,Rosewood East Indian,Estándar,819.99,226,499,19O,3
0270687.0413001127,Rosewood East Indian,Estándar,469.99,124,347,140,3
0090688.0757001454,Katalox,Buena,69.99,151,221,113,6
0230689.0345001057,Macassar Ebony,Estándar,579.99,173.5,NA,190,NA
0100690.0442001142,Machiche,Estándar,39.99,105.5,504,145,2
0060691.0275000972,Estoraque,Básica,29.99,71.5,263,143,3
0120692.1881002585,Marupa,Premium,349.99,100.5,l7R,NA,6
0080693.0396001097,Huayruru,Estándar,59.99,130,486,131,NA
0110694.0894001599,Maple,Buena,89.99,114,239,114,7
0200695.0965001680,Rosa Morada,Buena,39.99,80,155,179,4
0130696.0399001108,Nogal Americano,Estándar,259.99,238.5,568,184,4
0240697.0396001117,Greenheart,Estándar,149.99,181,514,119,3
0070698.1194001899,Haya,Excelente,379.99,187,23S,146,8
0070699.0470001176,Haya,Estándar,29.99,56.5,252,125,3
0060700.0704001410,Estoraque,Buena,59.99,98,314,1O8,4
0130701.0483001197,Nogal Americano,Estándar,179.99,147.5,487,177,3
0250702.0376001103,Teak Burma,Estándar,599.99,96,365,l28,3
0040703.0471001178,Chechen,Estándar,29.99,83.5,270,l5l,3
0090704.1366002079,Katalox,Excelente,169.99,127.5,1S2,NA,NA
0240705.0203000932,Greenheart,Básica,109.99,130.5,336,14B,3
0210706.0484001211,Ébano,Estándar,369.99,151.5,276,l85,3
0100707.0508001225,Machiche,Buena,69.99,127,262,101,7
0120708.1431002151,Marupa,Excelente,169.99,254.5,268,199,7
0090709.0610001328,Katalox,Buena,79.99,166,206,l79,5
0100710.0994001714,Machiche,Buena,169.99,121,335,125,4
0110711.0734001456,Maple,Buena,119.99,173,29l,174,6
0210712.0946001679,Ébano,Buena,659.99,215.5,20S,146,6
0090713.0640001362,Katalox,Buena,49.99,110.5,293,104,4
0230714.0384001121,Macassar Ebony,Estándar,529.99,159.5,443,161,2
0070715.0996001718,Haya,Buena,69.99,117,232,J40,5
0060716.1226001948,Estoraque,Excelente,299.99,157,183,Z00,6
0230717.0425001165,Macassar Ebony,Estándar,349.99,101.5,210,144,NA
0130718.0623001354,Nogal Americano,Buena,89.99,99.5,181,1O1,8
0240719.0439001182,Greenheart,Estándar,99.99,135.5,435,103,3
0160720.1058001794,Pucté,Excelente,89.99,145.5,194,130,8
0090721.0893001623,Katalox,Buena,59.99,113.5,l59,11Z,6
0250722.0375001122,Teak Burma,Estándar,419.99,86,566,111,NA
0240723.0530001277,Greenheart,Buena,209.99,157,324,145,NA
0140724.1764002502,Okumé,Premium,339.99,186,315,141,7
0130725.1043001781,Nogal Americano,Excelente,259.99,199.5,272,127,8
0080726.0408001142,Huayruru,Estándar,49.99,157.5,489,139,3
0100727.0391001128,Machiche,Estándar,59.99,166.5,519,156,NA
0170728.1384002129,Quinilla,Excelente,329.99,163,324,123,6
0200729.1029001778,Rosa Morada,Excelente,129.99,191.5,290,105,H
0120730.1704002446,Marupa,Premium,189.99,123.5,217,197,4
0090731.0724001464,Katalox,Buena,49.99,112.5,250,116,4
0040732.0458001194,Chechen,Estándar,69.99,167.5,510,160,3
0060733.0478001217,Estoraque,Estándar,49.99,97.5,368,194,Z
0270734.0349001110,Rosewood East Indian,Estándar,719.99,210.5,433,199,3
0210735.0568001324,Ébano,Buena,669.99,250.5,210,159,7
0020736.1920002658,Cedro Cedrela,Premium,239.99,128,179,179,7
0240737.0161000922,Greenheart,Básica,69.99,85.5,310,NA,NA
0240738.0189000951,Greenheart,Básica,59.99,80,2B1,110,3
0080739.0337001084,Huayruru,Estándar,29.99,74,29O,113,3
0030740.1489002232,Cachimbo,Excelente,219.99,112.5,254,l23,5
0100741.0531001282,Machiche,Buena,109.99,187.5,334,134,NA
0230742.0715001480,Macassar Ebony,Buena,1689.99,321,266,161,7
0210743.0710001474,Ébano,Buena,449.99,164.5,2O2,12O,6
0250744.0372001141,Teak Burma,Estándar,599.99,80.5,3S0,1Z8,3
0130745.1006001764,Nogal Americano,Excelente,199.99,164,263,108,8
0200746.1456002222,Rosa Morada,Excelente,249.99,134,182,164,6
0240747.0238001009,Greenheart,Básica,169.99,234.5,468,186,3
0270748.0246001021,Rosewood East Indian,Básica,289.99,82,NA,177,3
0140749.1592002355,Okumé,Premium,109.99,73,152,16O,5
0200750.0905001675,Rosa Morada,Buena,79.99,169.5,2B3,166,5
0200751.0764001535,Rosa Morada,Buena,39.99,107.5,191,175,5
0110752.1453002216,Maple,Excelente,359.99,180.5,227,14S,8
0140753.1627002394,Okumé,Premium,159.99,120,1B2,121,B
0260754.0746001526,Satinwood,Buena,999.99,173.5,292,126,5
0230755.0263001041,Macassar Ebony,Básica,569.99,203,446,143,3
0100756.0442001208,Machiche,Estándar,19.99,57,224,11C,3
0060757.0537001300,Estoraque,Buena,59.99,81.5,231,1O3,S
0080758.0986001752,Huayruru,Buena,199.99,133,171,163,7
0250759.0207000991,Teak Burma,Básica,559.99,100,36l,154,3
0240760.0275001059,Greenheart,Básica,189.99,256,382,182,NA
0010761.0865001627,Caoba,Buena,99.99,156,275,166,6
0230762.0768001553,Macassar Ebony,Buena,959.99,192,166,147,NA
0200763.0849001632,Rosa Morada,Buena,49.99,110.5,218,186,4
0090764.1231002004,Katalox,Excelente,229.99,151,NA,177,6
0180765.0620001403,Tornillo,Buena,49.99,87,2l8,138,4
0030766.0934001703,Cachimbo,Buena,229.99,343,307,199,8
0130767.0749001529,Nogal Americano,Buena,159.99,148,298,121,6
0130768.0631001412,Nogal Americano,Buena,199.99,210,313,197,5
0170769.0687001473,Quinilla,Buena,59.99,90,161,14P,6
0070770.1502002279,Haya,Premium,399.99,119,18O,131,7
0110771.0734001516,Maple,Buena,79.99,119,281,186,4
0230772.0368001163,Macassar Ebony,Estándar,959.99,265,357,171,4
0140773.1594002381,Okumé,Premium,179.99,139,187,1S6,7
0050774.0401001180,Cumarú,Estándar,19.99,71,251,124,3
0110775.0909001695,Maple,Buena,49.99,135,176,152,7
0100776.0994001780,Machiche,Buena,349.99,270,275,17S,7
0030777.0789001569,Cachimbo,Buena,119.99,205.5,250,150,B
0100778.0635001423,Machiche,Buena,119.99,175,248,14B,7
0050779.0482001266,Cumarú,Estándar,69.99,184.5,549,1P0,3
0180780.0519001317,Tornillo,Buena,79.99,175,1BB,161,8
0140781.1318002113,Okumé,Excelente,79.99,128.5,302,149,5
0260782.0598001406,Satinwood,Buena,609.99,107.5,194,120,5
0070783.0671001461,Haya,Buena,39.99,74.5,l8l,151,4
0230784.0437001244,Macassar Ebony,Estándar,639.99,227,258,l89,4
0270785.0244001056,Rosewood East Indian,Básica,569.99,130,555,10B,3
0110786.0645001442,Maple,Buena,59.99,95,284,147,4
0010787.1086001874,Caoba,Excelente,129.99,247,24l,187,8
0150788.1963002766,Parota,Premium,749.99,212.5,293,133,8
0240789.0259001072,Greenheart,Básica,189.99,281.5,483,160,4
0100790.0635001435,Machiche,Buena,99.99,148,279,147,5
0100791.0508001309,Machiche,Buena,129.99,248,333,176,6
0260792.0680001498,Satinwood,Buena,949.99,155,190,NA,6
0070793.0552001352,Haya,Buena,59.99,127.5,237,NA,4
0120794.1489002295,Marupa,Excelente,249.99,110,J57,195,6
0160795.1124001935,Pucté,Excelente,69.99,102.5,181,157,S
0070796.1022001825,Haya,Excelente,79.99,93.5,290,113,NA
0140797.1594002405,Okumé,Premium,129.99,102,298,1Z5,4
0030798.0768001569,Cachimbo,Buena,109.99,192,236,199,6
0120799.0981001792,Marupa,Buena,49.99,93,22O,141,5
0050800.0999001804,Cumarú,Buena,189.99,130.5,Z47,122,6
0100801.0531001342,Machiche,Buena,49.99,86.5,155,135,6
0120802.1631002445,Marupa,Premium,269.99,172,32O,157,5
0260803.0426001255,Satinwood,Estándar,409.99,74,461,103,Z
0060804.0173000983,Estoraque,Básica,29.99,72,274,1O2,NA
0060805.0675001486,Estoraque,Buena,99.99,150.5,259,134,6
0120806.1336002154,Marupa,Excelente,229.99,93.5,325,126,4
0140807.1627002448,Okumé,Premium,109.99,82,196,1O2,6
0200808.1057001885,Rosa Morada,Excelente,139.99,158,218,177,6
0050809.0734001548,Cumarú,Buena,119.99,259,305,178,6
0080810.0311001129,Huayruru,Estándar,49.99,144,295,169,4
