Registro,Grupo,Semana,Ascensor,Inicia,Abre,Llega,Entraron,Salieron,Partida,Llegada,Espera,Viaje,Total,Servicio,Persona
2025-04-25 10:43:11,Grupo 9,5,T2-B,10:12:34,10:13:16,10:13:52,NA,2,6,10,42,36,78,Bueno,Estudiante
2025-04-25 13:03:31,Grupo 5,5,T1-D,12:58:40,13:01:20,13:02:10,13,5,1,5,160,50,210,Regular,Estudiante
2025-04-25 13:16:20,Grupo 1,5,T1-A,13:14:19,13:15:34,13:15:45,4,3,1,5,75,11,86,Regular,Estudiante
2025-04-25 13:53:05,Grupo 2,5,T1-D,13:51:29,13:52:11,13:52:43,4,2,1,8,42,32,74,Bueno,Estudiante
2025-04-25 14:28:55,Grupo 7,5,T1-A,14:26:57,14:27:05,14:28:26,7,2,1,10,8,81,89,Bueno,Estudiante
2025-04-25 16:02:27,Grupo 7,5,T2-A,15:59:10,16:00:41,16:02:10,4,7,10,1,91,89,180,Malo,Estudiante
2025-04-25 16:03:55,Grupo 1,5,T2-C,16:01:45,16:02:47,16:03:08,1,4,6,8,62,21,83,Bueno,Estudiante
2025-04-25 16:05:28,Grupo 7,5,T2-D,16:03:00,16:04:12,16:05:14,7,4,1,8,72,62,134,Regular,Estudiante
2025-04-25 16:10:53,Grupo 9,5,T1-D,06:49:33,06:50:24,06:50:53,2,2,1,8,51,29,80,Regular,Estudiante
2025-04-25 16:43:23,Grupo 9,5,T1-A,16:42:28,16:42:31,16:43:15,1,1,11,1,3,44,47,Bueno,Estudiante
2025-04-25 16:44:41,Grupo 9,5,T1-B,16:43:40,16:43:56,16:44:27,1,1,1,8,16,31,47,Bueno,Estudiante
2025-04-25 17:38:28,Grupo 9,5,T2-D,16:36:15,16:36:35,16:36:49,1,1,9,6,20,14,34,Regular,Estudiante
2025-04-25 17:40:16,Grupo 9,5,T1-C,17:29:31,17:29:41,17:29:59,1,1,6,1,10,18,28,Regular,Estudiante
2025-04-25 18:05:17,Grupo 1,5,T2-B,18:03:02,18:03:37,18:04:43,3,1,8,1,35,66,101,Regular,Estudiante
2025-04-25 18:45:53,Grupo 7,5,T1-A,18:44:48,18:45:15,18:45:37,2,2,10,6,27,22,49,Bueno,Estudiante
2025-04-25 18:47:52,Grupo 7,5,T1-B,18:46:30,18:46:32,18:47:00,2,2,6,1,2,28,30,Bueno,Estudiante
2025-04-25 19:38:40,Grupo 8,5,T2-D,19:36:42,19:30:02,19:37:25,2,2,1,4,-400,443,43,Bueno,Estudiante
2025-04-25 19:50:06,Grupo 8,5,T1-B,19:49:00,19:49:01,19:49:37,2,2,8,1,1,36,37,Bueno,Estudiante
2025-04-25 19:55:05,Grupo 8,5,T2-A,19:53:45,19:53:52,19:54:15,3,3,10,5,7,23,30,Regular,Estudiante
2025-04-25 20:03:24,Grupo 9,5,T1-A,20:01:11,20:01:18,20:01:20,5,3,8,1,7,2,9,Bueno,Estudiante
2025-04-25 20:05:05,Grupo 8,5,T1-C,19:59:52,20:01:09,20:01:31,3,8,6,1,77,22,99,Malo,Estudiante
2025-04-25 20:06:06,Grupo 9,5,T2-D,20:03:43,20:04:11,20:04:38,3,2,1,4,28,27,55,Bueno,Estudiante
2025-04-25 20:26:20,Grupo 9,5,T1-B,20:24:35,20:25:13,20:25:38,2,1,8,3,38,25,63,Bueno,Estudiante
2025-04-25 20:28:39,Grupo 9,5,T2-D,20:27:24,20:27:47,20:28:07,1,1,3,9,23,20,43,Bueno,Estudiante
2025-04-25 20:30:35,Grupo 9,5,T2-D,20:29:31,20:29:31,20:29:45,1,1,9,6,0,14,14,Bueno,Estudiante
2025-04-25 20:47:42,Grupo 8,5,T2-A,20:46:34,20:46:44,20:47:05,2,2,8,10,10,21,31,Bueno,Estudiante
2025-04-25 21:02:42,Grupo 8,5,T2-C,21:00:58,20:00:59,21:01:23,2,2,4,8,-3599,3624,25,Bueno,Estudiante
2025-04-25 21:24:53,Grupo 8,5,T1-C,21:20:22,21:20:33,21:20:50,3,3,1,2,11,17,28,Bueno,Estudiante
2025-04-26 10:38:27,Grupo 9,5,T1-C,10:35:45,10:35:57,10:36:19,1,1,10,5,12,22,34,Regular,Estudiante
2025-04-26 11:05:40,Grupo 9,5,T2-D,11:03:00,11:03:13,11:03:50,2,1,5,9,13,37,50,Regular,Estudiante
2025-04-26 11:22:43,Grupo 9,5,T1-D,11:16:29,11:16:41,11:17:12,3,1,9,3,12,31,43,Regular,Estudiante
2025-04-26 12:06:11,Grupo 9,5,T2-A,12:04:20,12:05:22,12:05:55,1,1,7,11,62,33,95,Regular,Estudiante
2025-04-26 12:08:50,Grupo 9,5,T1-A,12:07:22,12:07:33,12:08:26,1,5,11,1,11,53,64,Bueno,Estudiante
2025-04-26 12:25:52,Grupo 9,5,T1-B,12:24:30,12:24:32,12:24:58,1,1,8,3,2,26,28,Bueno,Estudiante
2025-04-26 12:33:00,Grupo 8,5,T1-C,12:31:23,12:31:23,12:31:57,2,3,1,10,0,34,34,Bueno,Estudiante
2025-04-26 12:40:08,Grupo 9,5,T1-B,12:38:39,12:39:05,12:39:51,1,2,2,11,26,46,72,Bueno,Estudiante
2025-04-26 12:42:43,Grupo 8,5,T1-C,12:35:50,12:36:20,12:36:53,2,2,10,1,30,33,63,Bueno,Estudiante
2025-04-26 12:45:50,Grupo 8,5,T1-C,12:37:46,11:38:23,11:39:03,2,2,1,11,-3563,40,-3523,Regular,Estudiante
2025-04-26 12:46:05,Grupo 9,5,T2-D,12:40:05,12:40:15,12:40:30,4,1,11,4,10,15,25,Regular,Estudiante
2025-04-26 12:50:55,Grupo 9,5,T1-D,12:50:15,12:52:42,12:50:17,2,2,6,2,147,-145,2,Bueno,Estudiante
2025-04-26 12:54:15,Grupo 9,5,T1-D,12:52:38,12:53:06,12:54:00,2,5,11,1,28,54,82,Bueno,Estudiante
2025-04-26 13:01:19,Grupo 9,5,T2-D,12:57:39,12:58:13,12:58:39,1,2,8,2,34,26,60,Regular,Estudiante
2025-04-26 13:06:04,Grupo 8,5,T1-B,12:58:20,12:58:25,12:58:45,4,3,1,6,5,20,25,Bueno,Estudiante
2025-04-26 13:16:32,Grupo 9,5,T2-B,13:13:39,13:13:46,13:14:04,1,1,3,6,7,18,25,Regular,Estudiante
2025-04-26 13:23:26,Grupo 9,5,T1-B,13:18:35,13:18:56,13:19:19,1,1,6,2,21,23,44,Regular,Estudiante
2025-04-26 13:58:48,Grupo 9,5,T1-A,13:56:55,13:57:00,13:57:18,1,1,8,5,5,18,23,Bueno,Estudiante
2025-04-26 14:04:28,Grupo 9,5,T2-D,14:01:53,14:02:11,14:02:32,1,1,5,9,18,21,39,Regular,Estudiante
2025-04-26 14:08:43,Grupo 9,5,T1-A,14:06:12,14:06:40,14:06:57,1,1,9,6,28,17,45,Bueno,Estudiante
2025-04-26 14:12:51,Grupo 9,5,T2-A,14:10:57,14:11:03,14:11:22,1,1,6,10,6,19,25,Bueno,Estudiante
2025-04-26 14:48:45,Grupo 9,5,T2-C,14:46:17,14:46:25,14:46:46,1,1,3,6,8,21,29,Regular,Estudiante
2025-04-26 15:59:43,Grupo 8,5,T1-B,15:32:00,15:35:00,15:36:00,5,2,1,5,180,60,240,Bueno,Estudiante
2025-04-26 21:56:54,Grupo 9,5,T1-D,14:03:01,14:03:18,14:03:51,8,6,4,7,17,33,50,Regular,Estudiante
2025-04-26 21:58:49,Grupo 9,5,T1-A,14:02:05,14:02:10,14:02:31,11,6,6,4,5,21,26,Regular,Estudiante
2025-04-27 18:50:20,Grupo 4,5,T1-C,03:05:06,12:46:40,12:47:54,5,5,6,1,34894,74,34968,Bueno,Estudiante
2025-04-27 18:52:10,Grupo 4,5,T1-D,13:54:18,13:55:20,13:56:24,2,1,1,4,62,64,126,Regular,Docente
2025-04-27 23:13:06,Grupo 8,5,T2-A,07:33:00,07:36:00,07:37:00,6,2,3,8,180,60,240,Bueno,Estudiante
2025-04-28 07:45:40,Grupo 4,6,T1-B,07:09:30,07:09:45,07:10:12,NA,1,1,6,15,27,42,Bueno,Estudiante
2025-04-28 09:01:25,Grupo 8,6,T1-B,08:59:00,09:00:08,09:01:05,10,10,1,8,68,57,125,Regular,Estudiante
2025-04-28 09:52:44,Grupo 5,6,T1-D,09:34:24,09:35:01,09:35:27,2,1,1,8,37,26,63,Regular,Estudiante
2025-04-28 09:55:54,Grupo 6,6,T2-B,09:49:45,09:50:12,09:50:44,3,1,1,8,27,32,59,Bueno,Estudiante
2025-04-28 12:05:40,Grupo 7,6,T1-C,12:04:00,12:05:00,12:05:40,1,2,8,1,60,40,100,Bueno,Estudiante
2025-04-28 12:13:05,Grupo 5,6,T1-D,12:08:01,12:08:27,12:08:35,3,3,8,11,26,8,34,Bueno,Estudiante
2025-04-28 12:25:33,Grupo 8,6,T1-D,12:21:44,12:21:50,12:22:34,1,NA,2,11,6,44,50,Bueno,Estudiante
2025-04-28 14:58:40,Grupo 8,6,T1-B,14:53:58,14:55:08,14:55:53,2,1,1,9,70,45,115,Bueno,Estudiante
2025-04-28 15:36:15,Grupo 7,6,T1-C,15:58:13,15:58:40,15:59:04,5,2,8,4,27,24,51,Regular,Estudiante
2025-04-28 16:07:26,Grupo 1,6,T2-D,16:05:33,16:06:01,16:07:01,3,6,8,1,28,60,88,Regular,Estudiante
2025-04-28 17:01:42,Grupo 8,6,T1-A,16:58:03,16:59:10,17:00:03,5,9,9,1,67,53,120,Bueno,Estudiante
2025-04-28 17:31:15,Grupo 8,6,T1-A,17:06:12,17:06:58,17:07:37,6,5,1,9,46,39,85,Bueno,Estudiante
2025-04-28 17:37:35,Grupo 7,6,T1-B,17:50:13,17:50:28,17:50:52,3,7,4,1,15,24,39,Regular,Estudiante
2025-04-28 22:38:15,Grupo 6,6,T1-D,16:05:37,16:06:39,16:08:12,6,3,1,6,62,93,155,Bueno,Estudiante
2025-04-28 22:41:42,Grupo 6,6,T2-C,15:45:15,15:47:45,15:50:47,3,2,2,11,150,182,332,Regular,Estudiante
2025-04-28 22:43:38,Grupo 6,6,T2-D,11:30:33,11:32:05,11:34:04,7,4,9,8,92,119,211,Regular,Estudiante
2025-04-28 23:50:43,Grupo 6,6,T2-A,13:30:50,13:31:30,13:31:58,1,1,9,1,40,28,68,Bueno,Estudiante
2025-04-28 23:53:37,Grupo 6,6,T2-A,12:18:48,12:19:34,12:20:02,3,4,6,2,46,28,74,Bueno,Estudiante
2025-04-29 10:56:14,Grupo 4,6,T1-D,10:52:05,10:52:24,10:53:37,8,3,1,6,19,73,92,Regular,Estudiante
2025-04-29 12:43:55,Grupo 3,5,T2-D,12:41:30,NA,NA,5,5,9,1,NA,NA,NA,Regular,Estudiante
2025-04-29 12:47:57,Grupo 3,5,T1-C,11:55:30,NA,NA,3,2,1,8,NA,NA,NA,Regular,Estudiante
2025-04-29 23:10:49,Grupo 6,6,T1-B,08:15:38,08:15:45,08:16:08,4,1,1,11,7,23,30,Bueno,Estudiante
2025-04-29 23:13:26,Grupo 6,6,T2-C,17:52:09,17:52:12,17:52:35,1,1,1,6,3,23,26,Bueno,Estudiante
2025-04-29 23:20:21,Grupo 6,6,T2-A,18:25:15,18:25:16,18:25:30,1,1,5,3,1,14,15,Bueno,Estudiante
2025-04-29 23:21:50,Grupo 6,6,T2-C,18:32:13,18:32:37,18:33:04,1,1,3,9,24,27,51,Bueno,Estudiante
2025-04-29 23:22:44,Grupo 6,6,T2-B,11:34:08,11:36:32,11:38:24,3,5,11,1,144,112,256,Bueno,Estudiante
2025-04-29 23:26:10,Grupo 6,6,T1-B,14:02:34,12:05:23,12:07:23,6,1,1,11,-7031,120,-6911,Regular,Estudiante
2025-04-29 23:29:54,Grupo 6,6,T1-D,15:05:34,15:09:34,17:23:12,5,5,5,1,240,8018,8258,Regular,Estudiante
2025-04-29 23:30:58,Grupo 6,6,T2-D,17:59:02,18:00:26,18:01:50,9,3,1,11,84,84,168,Bueno,Estudiante
2025-04-29 23:37:50,Grupo 6,6,T2-C,18:07:28,18:07:49,18:08:10,1,1,7,1,21,21,42,Bueno,Estudiante
2025-04-29 23:38:02,Grupo 6,6,T1-D,18:49:15,18:49:25,18:49:39,1,1,7,8,10,14,24,Bueno,Estudiante
2025-04-29 23:39:21,Grupo 6,6,T1-D,18:50:15,18:50:22,18:50:43,1,1,8,1,7,21,28,Bueno,Estudiante
2025-04-29 23:41:25,Grupo 6,6,T1-C,18:51:48,18:52:07,18:52:09,2,2,1,8,19,2,21,Bueno,Estudiante
2025-04-29 23:46:44,Grupo 6,6,T1-A,18:59:40,18:59:45,19:00:29,6,3,1,8,5,44,49,Bueno,Estudiante
2025-04-29 23:56:43,Grupo 6,6,T2-D,15:10:27,15:11:42,15:12:36,8,4,11,1,75,54,129,Bueno,Estudiante
2025-04-29 23:56:55,Grupo 6,6,T2-D,20:08:29,20:08:40,20:08:58,3,1,8,3,11,18,29,Bueno,Estudiante
2025-04-29 23:57:08,Grupo 6,6,T1-D,08:00:00,08:00:03,08:00:25,3,2,4,8,3,22,25,Bueno,Estudiante
2025-04-29 23:57:44,Grupo 6,6,T1-D,19:32:50,19:32:56,19:33:34,1,1,1,4,6,38,44,Bueno,Estudiante
2025-04-29 23:58:15,Grupo 6,6,T1-D,17:07:08,17:07:20,17:07:38,4,2,11,1,12,18,30,Bueno,Estudiante
2025-04-29 23:58:21,Grupo 6,6,T1-A,11:45:00,11:45:04,11:45:50,6,2,5,1,4,46,50,Regular,Estudiante
2025-04-29 23:58:29,Grupo 6,6,T1-B,15:49:53,15:50:02,15:50:30,3,1,5,11,9,28,37,Bueno,Estudiante
2025-04-29 23:58:40,Grupo 6,6,T1-D,19:35:59,19:36:19,19:36:42,2,1,1,5,20,23,43,Bueno,Estudiante
2025-04-29 23:58:51,Grupo 6,6,T1-A,19:37:20,19:37:29,19:38:01,1,1,5,1,9,32,41,Bueno,Estudiante
2025-04-29 23:59:06,Grupo 6,6,T1-C,19:45:17,19:45:38,19:46:11,1,2,8,1,21,33,54,Bueno,Estudiante
2025-04-29 23:59:19,Grupo 6,6,T1-B,11:34:45,11:36:45,11:37:20,6,3,11,1,120,35,155,Bueno,Estudiante
2025-04-29 23:59:39,Grupo 6,6,T1-B,19:51:27,19:53:06,19:51:11,3,5,10,1,99,-115,-16,Malo,Estudiante
2025-04-29 23:59:44,Grupo 6,6,T1-A,18:37:23,18:37:40,18:38:01,1,3,2,8,17,21,38,Bueno,Estudiante
2025-04-29 23:59:46,Grupo 6,6,T1-D,19:54:52,19:55:23,19:55:54,1,1,1,11,31,31,62,Bueno,Estudiante
2025-04-29 23:59:58,Grupo 6,6,T2-A,16:04:32,16:04:58,16:05:20,2,4,11,1,26,22,48,Bueno,Estudiante
2025-04-30 11:20:19,Grupo 2,6,T2-A,10:56:08,10:56:08,10:56:59,9,3,6,9,0,51,51,Regular,Estudiante
2025-05-02 10:09:36,Grupo 2,6,T2-B,10:04:28,10:06:13,10:06:33,1,1,1,4,105,20,125,Malo,Estudiante
2025-05-02 14:56:05,Grupo 2,6,T2-A,13:27:50,13:27:52,13:29:23,1,1,4,10,2,91,93,Regular,Estudiante
2025-05-03 19:46:58,Grupo 5,6,T1-D,19:44:02,19:45:31,NA,4,4,1,11,89,NA,NA,Bueno,Estudiante
2025-05-03 19:47:20,Grupo 5,6,T1-D,19:44:02,19:45:31,NA,4,4,1,11,89,NA,NA,Bueno,Estudiante
2025-05-05 12:45:27,Grupo 5,7,T1-B,12:44:00,12:44:00,12:45:10,5,1,1,11,0,70,70,Bueno,Estudiante
2025-05-06 10:49:43,Grupo 4,7,T1-A,10:47:32,10:47:32,10:48:02,1,1,1,6,0,30,30,Bueno,Estudiante
2025-05-07 09:01:06,Grupo 2,7,T1-A,08:58:24,08:58:59,09:00:36,12,5,1,8,35,97,132,Bueno,Estudiante
2025-05-08 08:49:04,Grupo 4,7,T1-A,08:46:30,08:46:32,08:47:00,1,1,1,8,2,28,30,Bueno,Estudiante
2025-05-08 13:27:30,Grupo 4,7,T2-A,13:26:07,13:26:07,13:06:33,1,1,6,1,0,-1174,-1174,Bueno,Estudiante
2025-05-08 23:31:46,Grupo 2,7,T2-A,13:07:20,13:09:51,13:11:16,9,6,10,1,151,85,236,Malo,Estudiante
2025-05-09 22:36:15,Grupo 7,7,T1-D,09:58:20,09:58:45,09:58:59,6,2,6,1,25,14,39,Regular,Estudiante
2025-05-09 22:43:44,Grupo 7,7,T1-C,15:02:15,15:02:17,15:02:27,4,1,1,5,2,10,12,Bueno,Estudiante
2025-05-09 22:49:43,Grupo 7,7,T2-B,10:24:46,10:24:52,10:23:03,2,1,2,6,6,-109,-103,Bueno,Estudiante
2025-05-09 22:54:52,Grupo 7,7,T1-C,10:05:17,10:05:26,10:05:49,3,4,8,1,9,23,32,Bueno,Estudiante
2025-05-10 10:32:54,Grupo 2,7,T2-A,08:54:34,08:59:05,08:59:40,1,1,1,8,271,35,306,Bueno,Estudiante
2025-05-12 09:36:36,Grupo 2,8,T2-A,08:58:13,08:59:00,08:59:31,3,1,1,8,47,31,78,Regular,Estudiante
2025-05-12 10:01:47,Grupo 9,8,T1-D,10:00:08,10:01:00,10:02:56,1,1,10,1,52,116,168,Bueno,Estudiante
2025-05-12 10:08:06,Grupo 9,8,T1-B,10:07:00,10:07:16,10:07:29,NA,NA,10,3,16,13,29,Bueno,Estudiante
2025-05-12 10:10:08,Grupo 9,8,T1-B,10:09:00,10:09:17,10:09:40,NA,NA,3,11,17,23,40,Bueno,Estudiante
2025-05-12 10:19:46,Grupo 9,8,T2-C,10:18:50,10:18:51,10:19:43,5,1,1,9,1,52,53,Bueno,Estudiante
2025-05-12 10:21:22,Grupo 9,8,T1-A,10:20:00,10:20:22,10:21:07,1,2,9,4,22,45,67,Bueno,Estudiante
2025-05-12 10:22:27,Grupo 9,8,T1-A,10:21:30,NA,10:21:47,1,1,4,10,NA,NA,17,Bueno,Estudiante
2025-05-12 11:40:43,Grupo 9,8,T1-C,10:40:00,10:40:01,10:40:10,2,1,10,6,1,9,10,Bueno,Estudiante
2025-05-12 20:13:15,Grupo 5,8,T1-A,16:43:38,16:44:19,16:45:17,2,2,9,1,41,58,99,Bueno,Estudiante
2025-05-13 13:27:23,Grupo 4,8,T2-D,13:25:50,13:25:55,13:26:35,1,1,6,10,5,40,45,Bueno,Estudiante
2025-05-14 22:23:46,Grupo 9,8,T1-C,15:03:45,15:04:48,15:06:10,1,3,10,1,63,82,145,Regular,Estudiante
2025-05-15 16:49:21,Grupo 9,8,T1-C,16:48:46,16:49:34,16:50:12,2,3,2,11,48,38,86,Malo,Docente
2025-05-15 16:50:38,Grupo 9,8,T1-A,16:51:34,16:52:34,16:53:58,6,3,11,1,60,84,144,Malo,Estudiante
2025-05-15 17:59:39,Grupo 9,8,T1-B,17:56:37,17:58:13,17:58:43,1,2,6,10,96,30,126,Bueno,Estudiante
2025-05-15 20:14:28,Grupo 9,8,T2-B,20:14:05,20:14:15,20:14:27,1,1,7,2,10,12,22,Bueno,Estudiante
2025-05-19 12:35:30,Grupo 5,9,T1-B,12:32:00,10:32:30,10:33:10,2,1,1,11,-7170,40,-7130,Malo,Estudiante
2025-05-22 08:53:47,Grupo 4,9,T2-B,08:51:38,08:51:50,08:52:49,2,1,6,10,12,59,71,Bueno,Docente
2025-05-24 09:19:30,Grupo 5,9,T1-C,09:19:00,09:19:35,09:20:18,5,2,1,11,35,43,78,Regular,Estudiante
2025-05-24 10:32:18,Grupo 5,9,T1-B,10:32:40,10:33:10,10:33:25,3,2,8,9,30,15,45,Bueno,Estudiante
2025-05-24 11:28:37,Grupo 2,9,T1-C,11:26:14,11:26:55,11:28:03,3,1,1,10,41,68,109,Bueno,Estudiante
2025-05-26 10:16:56,Grupo 5,10,T1-A,09:32:01,09:32:30,09:33:02,3,2,1,8,29,32,61,Bueno,Estudiante
2025-05-26 17:00:56,Grupo 5,10,T1-A,16:58:01,17:59:53,17:02:01,5,7,8,1,3712,-3472,240,Regular,Estudiante
2025-05-27 16:01:45,Grupo 5,10,T1-D,14:00:02,14:01:08,14:02:30,10,1,1,10,66,82,148,Regular,Estudiante
2025-06-09 13:35:57,Grupo 1,12,T1-D,13:35:06,13:35:11,13:35:36,3,1,1,6,5,25,30,Bueno,Estudiante
2025-06-10 10:55:54,Grupo 4,12,T1-A,10:53:47,10:53:50,10:54:28,5,5,1,6,3,38,41,Bueno,Estudiante
2025-06-10 13:09:13,Grupo 4,12,T2-C,13:05:10,13:07:27,13:08:29,1,1,6,10,137,62,199,Bueno,Estudiante
2025-06-10 19:49:14,Grupo 8,12,T2-D,19:16:12,19:16:48,19:17:02,1,1,11,8,36,14,50,Bueno,Estudiante
2025-06-10 23:39:04,Grupo 1,12,T1-A,23:37:01,23:37:16,23:38:00,2,3,1,11,15,44,59,Bueno,Estudiante
2025-06-10 23:41:31,Grupo 8,12,T2-C,20:58:29,20:58:52,20:59:40,3,4,8,1,23,48,71,Regular,Estudiante
2025-06-11 17:44:40,Grupo 8,12,T1-C,17:29:33,17:29:47,17:30:30,4,4,6,1,14,43,57,Bueno,Estudiante
2025-06-11 20:18:06,Grupo 1,12,T1-B,08:09:01,08:09:16,08:09:30,3,2,1,11,15,14,29,Bueno,Estudiante
2025-06-12 13:45:00,Grupo 8,12,T1-C,12:33:59,12:34:38,12:35:00,4,4,5,2,39,22,61,Bueno,Estudiante
2025-06-12 14:10:42,Grupo 8,12,T2-A,12:09:50,14:10:26,14:11:00,2,2,11,3,7236,34,7270,Bueno,Estudiante
2025-06-12 16:34:16,Grupo 1,12,T1-A,16:32:41,16:33:10,16:33:25,4,2,1,8,29,15,44,Bueno,Estudiante
2025-06-12 23:17:52,Grupo 1,12,T1-C,12:05:03,12:06:18,12:06:57,4,2,5,10,75,39,114,Regular,Estudiante
2025-06-13 11:50:15,Grupo 1,12,T1-D,11:47:53,11:48:10,11:48:45,2,2,6,8,17,35,52,Bueno,Estudiante
2025-06-13 12:01:00,Grupo 1,12,T2-A,11:57:55,11:58:26,11:59:19,1,1,3,9,31,53,84,Bueno,Estudiante
2025-06-13 12:16:44,Grupo 1,12,T1-D,12:13:34,12:13:50,12:14:33,2,1,11,6,16,43,59,Bueno,Estudiante
2025-06-13 12:45:37,Grupo 1,12,T2-B,01:02:03,01:03:49,01:04:20,4,3,7,10,106,31,137,Bueno,Estudiante
2025-06-13 12:47:43,Grupo 1,12,T1-C,02:01:48,02:02:52,02:03:36,4,3,5,9,64,44,108,Regular,Estudiante
2025-06-13 17:52:00,Grupo 1,12,T1-C,17:50:28,17:50:38,17:51:27,3,3,8,1,10,49,59,Bueno,Estudiante
2025-06-16 09:32:09,Grupo 8,13,T1-A,08:02:38,08:02:38,08:03:03,1,1,7,1,0,25,25,Bueno,Estudiante
2025-06-16 14:01:24,Grupo 1,13,T2-A,13:58:25,14:00:00,14:00:43,2,2,6,8,95,43,138,Regular,Estudiante
2025-06-17 11:03:07,Grupo 7,13,T1-C,11:02:00,11:03:00,11:05:00,4,2,1,10,60,120,180,Bueno,Estudiante
2025-06-17 13:25:09,Grupo 4,13,T2-D,13:23:14,13:24:22,13:24:44,1,2,6,10,68,22,90,Bueno,Estudiante
2025-06-17 14:35:44,Grupo 4,13,T1-D,12:03:44,12:04:03,12:04:55,5,2,5,9,19,52,71,Regular,Estudiante
2025-06-17 15:12:20,Grupo 4,13,T1-A,09:05:11,09:06:01,09:06:55,4,1,1,10,50,54,104,Bueno,Estudiante
2025-06-17 18:07:18,Grupo 4,11,T1-C,18:38:03,18:39:03,18:40:03,4,4,1,5,60,60,120,Bueno,Estudiante
2025-06-18 10:53:17,Grupo 1,13,T1-A,10:52:05,10:52:09,10:52:30,3,2,2,11,4,21,25,Bueno,Estudiante
2025-06-19 09:26:06,Grupo 4,13,T2-D,09:24:10,09:25:04,09:25:34,1,1,10,3,54,30,84,Bueno,Estudiante
