Edad,Sexo,CantidadCursos,HorasSuenio,ActividadFisica,FrecBebida,UnidadBebida,HorasEjercicio,CanDesayuno,Carrera,Estres,CicloAcademico,CalidadSuenio,GrupoEncuesta
20,Femenino,5,4,Actividad aeróbica,0,0,5,Bastante,"Ingeniería, Tecnología y Construcción",Alto,3,Regular,9
19,Femenino,6,6,Deportes colectivos,1,1,2.5,Regular,"Humanidades, Artes y Educación",Alto,1,Regular,9
17,Femenino,6,4,Actividad aeróbica,0,0,2,Regular,"Humanidades, Artes y Educación",Muy alto,1,Regular,5
20,Masculino,6,7,Deportes colectivos,3,3,1.5,Ninguna,Ciencias de la Salud,Alto,10,Regular,9
18,Masculino,6,6,Actividad aeróbica,0,0,1.5,Bastante,Ciencias de la Salud,Alto,3,Regular,5
17,Masculino,6,7,No realiza actividad física,0,0,1,Bastante,"Humanidades, Artes y Educación",Alto,1,Regular,5
20,Femenino,6,6,Mixta,0,0,2,Bastante,Ciencias de la Salud,Medio,3,Regular,5
20,Femenino,6,8,Mixta,0,0,2,Mucha,"Administración, Negocios y Contabilidad",Alto,3,Regular,8
17,Masculino,6,8,Deportes colectivos,0,0,10,Bastante,"Ingeniería, Tecnología y Construcción",Medio,1,Regular,8
21,Masculino,5,7,Actividad aeróbica,0,0,4,Ninguna,"Ingeniería, Tecnología y Construcción",Muy alto,6,Mala,5
20,Masculino,5,5,Mixta,0,1,3,Bastante,"Ingeniería, Tecnología y Construcción",Medio,9,Regular,5
18,Femenino,7,8,Deportes colectivos,0,0,2,Bastante,"Administración, Negocios y Contabilidad",Alto,1,Regular,5
21,Femenino,7,8,Deportes colectivos,0,0,1,Bastante,Ciencias Sociales y Derecho,Alto,7,Regular,5
19,Masculino,5,3,No realiza actividad física,2,2,1,Ninguna,"Ingeniería, Tecnología y Construcción",Muy alto,3,Muy mala,5
17,Masculino,6,6,Actividad aeróbica,2,1,4,Bastante,"Ingeniería, Tecnología y Construcción",Medio,1,Regular,8
19,Femenino,6,4,Actividad aeróbica,0,0,2,Ninguna,"Ingeniería, Tecnología y Construcción",Muy alto,5,Muy mala,5
23,Masculino,8,5,Deportes colectivos,0,0,3,Bastante,"Ingeniería, Tecnología y Construcción",Bajo,9,Mala,9
19,Masculino,5,8,Deportes colectivos,1,1,5,Bastante,"Ingeniería, Tecnología y Construcción",Nulo,3,Regular,8
22,Femenino,8,6,Actividad aeróbica,0,0,1.5,Bastante,"Ingeniería, Tecnología y Construcción",Alto,10,Regular,5
18,Femenino,NA,4,Deportes colectivos,2,1,1.5,Regular,Ciencias Exactas y Ambientales,Alto,3,Mala,5
19,Masculino,4,5,Mixta,7,2,1,Bastante,"Administración, Negocios y Contabilidad",Alto,5,Regular,8
23,Femenino,8,5,No realiza actividad física,0,0,1.5,Regular,Ciencias de la Salud,Alto,9,Mala,5
21,Masculino,5,7,No realiza actividad física,0,0,1,Ninguna,"Ingeniería, Tecnología y Construcción",Alto,6,Mala,5
19,Masculino,5,7,Deportes colectivos,1,2,2,Bastante,"Ingeniería, Tecnología y Construcción",Bajo,5,Buena,9
25,Femenino,4,7,Actividad aeróbica,0,0,2,Regular,"Administración, Negocios y Contabilidad",Medio,10,Regular,9
20,Femenino,6,8,No realiza actividad física,0,0,1,Poca,"Ingeniería, Tecnología y Construcción",Muy alto,5,Muy mala,8
19,Masculino,4,9,No realiza actividad física,7,2,6,Poca,"Ingeniería, Tecnología y Construcción",Nulo,5,Muy mala,8
21,Femenino,8,5,Mixta,0,0,7.5,Bastante,Ciencias de la Salud,Alto,9,Regular,5
19,Masculino,5,6,Deportes colectivos,0,0,4,Ninguna,Ciencias Exactas y Ambientales,Bajo,5,Regular,8
19,Femenino,6,6,Mixta,1,1,1,Bastante,"Ingeniería, Tecnología y Construcción",Alto,5,Mala,8
23,Masculino,NA,4,Actividad aeróbica,0,0,1,Bastante,Ciencias de la Salud,Nulo,10,Regular,5
19,Masculino,5,6,Actividad aeróbica,0,0,8,Mucha,"Ingeniería, Tecnología y Construcción",Muy alto,5,Mala,8
19,Femenino,6,7,Actividad aeróbica,0,0,1,Bastante,Ciencias de la Salud,Muy alto,2,Regular,8
19,Masculino,6,7,Mixta,0,0,4,Poca,"Ingeniería, Tecnología y Construcción",Medio,3,Regular,8
20,Masculino,8,8,Deportes colectivos,7,2,2.6,Mucha,"Ingeniería, Tecnología y Construcción",Bajo,5,Regular,9
21,Masculino,5,5,Mixta,0,0,11,Bastante,Ciencias de la Salud,Alto,6,Mala,8
19,Femenino,5,6,Actividad aeróbica,0,0,4,Ninguna,"Administración, Negocios y Contabilidad",Alto,5,Regular,8
19,Femenino,7,3,Mixta,4,1,6,Regular,"Administración, Negocios y Contabilidad",Muy alto,5,Muy mala,8
19,Masculino,7,7,Actividad aeróbica,1,1,1,Bastante,"Ingeniería, Tecnología y Construcción",Medio,2,Regular,5
24,Femenino,8,3,Actividad aeróbica,4,0,1,Mucha,Ciencias de la Salud,Muy alto,9,Regular,5
19,Femenino,5,5,Mixta,0,0,NA,Bastante,Ciencias de la Salud,Muy alto,5,Mala,8
20,Femenino,5,5,Deportes colectivos,1,1,3,Poca,"Ingeniería, Tecnología y Construcción",Medio,7,Muy mala,8
22,Masculino,5,5,Deportes colectivos,0,0,3,Bastante,"Ingeniería, Tecnología y Construcción",Bajo,6,Mala,9
20,Masculino,5,7,No realiza actividad física,2,1,1,Bastante,"Ingeniería, Tecnología y Construcción",Alto,3,Regular,8
17,Masculino,6,6,Actividad aeróbica,0,0,6,Bastante,"Ingeniería, Tecnología y Construcción",Bajo,1,Mala,8
25,Femenino,7,7,Actividad aeróbica,0,0,12,Bastante,"Humanidades, Artes y Educación",Bajo,10,Buena,9
24,Masculino,5,4,Deportes colectivos,0,0,2,Ninguna,Ciencias Sociales y Derecho,Medio,8,Mala,9
19,Masculino,6,7,Mixta,0,0,1.5,Bastante,"Administración, Negocios y Contabilidad",Alto,5,Buena,5
20,Femenino,6,7,Deportes colectivos,0,0,8,Bastante,"Ingeniería, Tecnología y Construcción",Alto,6,Regular,8
19,Masculino,6,6,Actividad aeróbica,0,0,4,Poca,Ciencias de la Salud,Bajo,5,Buena,8
18,Masculino,7,6,Actividad aeróbica,0,0,2,Bastante,"Ingeniería, Tecnología y Construcción",Medio,3,Regular,5
19,Masculino,6,6,Mixta,0,0,2,Regular,"Ingeniería, Tecnología y Construcción",Medio,3,Regular,5
19,Masculino,6,6.5,Actividad aeróbica,0,0,6,Bastante,"Ingeniería, Tecnología y Construcción",Medio,3,Regular,5
17,Femenino,6,6,No realiza actividad física,0,0,2,Bastante,Ciencias Exactas y Ambientales,Muy alto,1,Regular,9
20,Masculino,7,7.5,Actividad aeróbica,0,0,8,Bastante,"Ingeniería, Tecnología y Construcción",Bajo,7,Regular,8
18,Masculino,5,5,Deportes colectivos,0,0,5,Regular,"Ingeniería, Tecnología y Construcción",Alto,2,Regular,9
23,Masculino,4,3,No realiza actividad física,6,1,2,Bastante,"Humanidades, Artes y Educación",Nulo,1,Muy buena,9
18,Masculino,5,6,Mixta,0,0,16,Mucha,"Ingeniería, Tecnología y Construcción",Bajo,3,Buena,3
18,Masculino,6,5,Deportes colectivos,0,1,10,Mucha,"Ingeniería, Tecnología y Construcción",Muy alto,3,Mala,3
21,Masculino,4,4,Deportes colectivos,1,2,3,Bastante,"Ingeniería, Tecnología y Construcción",Alto,7,Mala,3
22,Femenino,4,5,No realiza actividad física,0,0,3,Mucha,"Administración, Negocios y Contabilidad",Muy alto,7,Muy mala,3
17,Masculino,6,6,Deportes colectivos,3,2,7,Bastante,"Ingeniería, Tecnología y Construcción",Alto,3,Regular,3
19,Masculino,5,7,Deportes colectivos,0,0,8,Mucha,"Ingeniería, Tecnología y Construcción",Medio,5,Regular,3
23,Masculino,5,6,Deportes colectivos,4,2,8,Bastante,"Ingeniería, Tecnología y Construcción",Alto,3,Mala,3
22,Masculino,6,6,Deportes colectivos,3,1,2,Bastante,Ciencias Exactas y Ambientales,Alto,7,Mala,3
18,Femenino,5,5,No realiza actividad física,2,1,2,Bastante,"Humanidades, Artes y Educación",Muy alto,3,Mala,8
18,Masculino,6,7,Mixta,5,2,NA,Bastante,"Ingeniería, Tecnología y Construcción",Medio,1,Regular,3
17,Masculino,NA,6,Actividad aeróbica,0,0,2,Bastante,"Ingeniería, Tecnología y Construcción",Medio,1,Regular,5
20,Femenino,7,5,Mixta,0,0,5,Poca,"Ingeniería, Tecnología y Construcción",Muy alto,7,Mala,8
18,Masculino,6,6,Mixta,0,0,1.5,Bastante,"Ingeniería, Tecnología y Construcción",Bajo,2,Regular,5
17,Masculino,6,6,Deportes colectivos,2,1,1,Bastante,"Ingeniería, Tecnología y Construcción",Alto,1,Regular,8
24,Femenino,5,7,Actividad aeróbica,1,1,1,Regular,"Humanidades, Artes y Educación",Alto,10,Buena,5
22,Femenino,8,4.5,Actividad aeróbica,0,0,2,Poca,"Administración, Negocios y Contabilidad",Medio,7,Mala,5
23,Femenino,NA,6.5,Mixta,0,0,4,Regular,"Humanidades, Artes y Educación",Medio,10,Regular,5
18,Masculino,6,7,No realiza actividad física,1,1,1,Mucha,"Humanidades, Artes y Educación",Muy alto,3,Muy mala,5
18,Femenino,6,5,Deportes colectivos,0,0,4.5,Ninguna,"Ingeniería, Tecnología y Construcción",Bajo,4,Mala,9
21,Masculino,5,5,Deportes colectivos,0,0,1,Regular,"Ingeniería, Tecnología y Construcción",Nulo,4,Regular,8
19,Femenino,3,5,Actividad aeróbica,0,0,3.5,Regular,"Ingeniería, Tecnología y Construcción",Alto,5,Mala,8
18,Femenino,8,5,Mixta,1,1,1.5,Ninguna,"Administración, Negocios y Contabilidad",Alto,3,Mala,3
17,Masculino,4,7,Actividad aeróbica,2,1,1.5,Bastante,Ciencias Sociales y Derecho,Alto,1,Regular,3
22,Femenino,6,6.5,Mixta,0,1,12,Bastante,Ciencias de la Salud,Muy alto,10,Regular,5
18,Masculino,7,6,Actividad aeróbica,3,1,2,Bastante,Ciencias de la Salud,Alto,3,Regular,3
18,Masculino,6,6,Actividad aeróbica,0,0,4,Bastante,Ciencias de la Salud,Medio,3,Regular,3
18,Femenino,6,4,Deportes colectivos,4,2,4,Bastante,"Ingeniería, Tecnología y Construcción",Alto,2,Mala,3
18,Masculino,7,5,Mixta,0,0,4,Mucha,Ciencias de la Salud,Muy alto,3,Mala,3
18,Masculino,6,4,Actividad aeróbica,3,2,1,Mucha,Ciencias de la Salud,Alto,3,Mala,3
18,Masculino,5,8,Actividad aeróbica,0,1,3,Bastante,Ciencias de la Salud,Alto,3,Regular,3
18,Femenino,4,4,Actividad aeróbica,4,1,1,Bastante,Ciencias de la Salud,Alto,3,Mala,3
18,Masculino,6,6,Mixta,0,0,1,Poca,Ciencias de la Salud,Alto,3,Regular,3
21,Masculino,6,6,Mixta,0,1,7,Regular,Ciencias de la Salud,Muy alto,9,Regular,5
21,Femenino,5,5,Actividad aeróbica,0,0,1,Bastante,Ciencias de la Salud,Alto,4,Mala,3
24,Femenino,7,7,No realiza actividad física,0,0,1,Mucha,"Humanidades, Artes y Educación",Muy alto,9,Regular,5
21,Femenino,6,7,No realiza actividad física,0,0,1,Regular,Ciencias de la Salud,Alto,9,Buena,5
22,Masculino,4,7,Actividad aeróbica,0,0,5,Ninguna,"Ingeniería, Tecnología y Construcción",Medio,6,Muy mala,3
24,Masculino,6,8,Actividad aeróbica,2,1,10,Bastante,"Administración, Negocios y Contabilidad",Medio,8,Buena,3
18,Femenino,5,7,No realiza actividad física,0,0,1,Ninguna,"Ingeniería, Tecnología y Construcción",Alto,3,Mala,3
23,Masculino,6,9,Mixta,0,0,2.5,Bastante,"Humanidades, Artes y Educación",Medio,10,Buena,9
18,Masculino,6,6,Actividad aeróbica,0,0,1,Poca,"Ingeniería, Tecnología y Construcción",Bajo,3,Mala,8
18,Femenino,6,7,No realiza actividad física,1,0,1,Regular,"Ingeniería, Tecnología y Construcción",Nulo,3,Mala,8
18,Masculino,5,7,Mixta,1,1,14,Mucha,"Administración, Negocios y Contabilidad",Alto,3,Buena,6
18,Femenino,5,7,No realiza actividad física,0,0,6.5,Bastante,"Ingeniería, Tecnología y Construcción",Medio,2,Regular,8
25,Masculino,6,7,Deportes colectivos,0,0,2,Bastante,"Ingeniería, Tecnología y Construcción",Bajo,3,Buena,5
20,Femenino,6,8,Mixta,1,1,4,Bastante,"Ingeniería, Tecnología y Construcción",Alto,7,Buena,5
19,Femenino,5,5,Actividad aeróbica,0,0,1.5,Regular,Ciencias Exactas y Ambientales,Alto,7,Regular,5
20,Femenino,4,7,Mixta,0,0,1,Bastante,Ciencias Exactas y Ambientales,Medio,7,Regular,5
20,Femenino,5,6,Actividad aeróbica,0,0,2,Mucha,"Ingeniería, Tecnología y Construcción",Muy alto,7,Regular,5
17,Masculino,6,6,Actividad aeróbica,4,1,1,Bastante,"Ingeniería, Tecnología y Construcción",Nulo,1,Regular,8
19,Femenino,6,8,No realiza actividad física,7,1,1,Bastante,"Ingeniería, Tecnología y Construcción",Muy alto,3,Buena,6
19,Femenino,6,6,Deportes colectivos,0,0,2,Poca,Ciencias Sociales y Derecho,Alto,5,Mala,8
22,Masculino,7,6,Deportes colectivos,2,1,1.5,Poca,"Ingeniería, Tecnología y Construcción",Medio,7,Regular,6
20,Masculino,4,6,Deportes colectivos,2,2,3,Bastante,"Ingeniería, Tecnología y Construcción",Muy alto,8,Buena,6
20,Masculino,NA,7,Deportes colectivos,2,1,1,Regular,"Ingeniería, Tecnología y Construcción",Medio,5,Buena,6
18,Masculino,6,7,Actividad aeróbica,0,0,2,Regular,"Ingeniería, Tecnología y Construcción",Alto,3,Regular,8
17,Masculino,6,5,Actividad aeróbica,0,0,2.5,Bastante,"Ingeniería, Tecnología y Construcción",Muy alto,1,Mala,8
25,Masculino,4,6,Deportes colectivos,2,1,5,Bastante,"Humanidades, Artes y Educación",Alto,10,Regular,9
18,Masculino,3,7,Deportes colectivos,0,0,9,Bastante,"Ingeniería, Tecnología y Construcción",Medio,3,Regular,8
18,Femenino,4,7,Actividad aeróbica,0,0,4,Regular,Ciencias Sociales y Derecho,Alto,3,Mala,5
18,Masculino,6,8.5,Actividad aeróbica,0,0,10,Mucha,"Ingeniería, Tecnología y Construcción",Nulo,3,Muy buena,5
23,Masculino,4,7,Deportes colectivos,7,4,1,Regular,"Administración, Negocios y Contabilidad",Medio,10,Muy mala,3
19,Femenino,7,6,Mixta,0,0,4,Bastante,Ciencias de la Salud,Alto,1,Regular,8
18,Masculino,7,5.5,Actividad aeróbica,1,2,5,Mucha,"Humanidades, Artes y Educación",Medio,3,Mala,5
19,Masculino,5,7,Actividad aeróbica,2,1,1,Bastante,Ciencias de la Salud,Muy alto,5,Regular,8
19,Masculino,7,7,Deportes colectivos,0,0,14,Bastante,"Ingeniería, Tecnología y Construcción",Medio,5,Buena,5
19,Masculino,6,6.43,Actividad aeróbica,0,0,2,Bastante,"Ingeniería, Tecnología y Construcción",Alto,5,Regular,8
18,Femenino,7,6,Mixta,0,0,6.5,Bastante,Ciencias de la Salud,Alto,3,Regular,5
18,Masculino,3,8,Mixta,0,0,4,Bastante,"Ingeniería, Tecnología y Construcción",Bajo,3,Regular,5
19,Masculino,6,5,Actividad aeróbica,2,0,4,Mucha,Ciencias de la Salud,Bajo,5,Regular,8
19,Femenino,4,6,Actividad aeróbica,0,0,3,Bastante,"Ingeniería, Tecnología y Construcción",Muy alto,5,Regular,8
20,Masculino,6,8,Deportes colectivos,2,1,2,Regular,"Ingeniería, Tecnología y Construcción",Alto,6,Regular,8
18,Femenino,7,7,Mixta,0,0,4.5,Bastante,Ciencias de la Salud,Alto,3,Regular,5
20,Masculino,6,4,Deportes colectivos,3,2,2,Bastante,"Ingeniería, Tecnología y Construcción",Medio,6,Buena,8
17,Masculino,6,10,Deportes colectivos,0,0,1,Bastante,"Ingeniería, Tecnología y Construcción",Bajo,3,Regular,6
18,Femenino,7,5,No realiza actividad física,0,0,1.5,Poca,Ciencias de la Salud,Muy alto,3,Muy mala,5
18,Masculino,5,6,Mixta,0,0,1,Bastante,"Ingeniería, Tecnología y Construcción",Alto,5,Regular,8
19,Femenino,5,6,Actividad aeróbica,1,1,3,Regular,"Ingeniería, Tecnología y Construcción",Alto,5,Mala,8
18,Femenino,6,6,Mixta,0,0,15,Bastante,Ciencias Sociales y Derecho,Alto,3,Buena,5
18,Masculino,5,5,Deportes colectivos,0,0,1,Regular,"Ingeniería, Tecnología y Construcción",Muy alto,5,Mala,8
18,Femenino,6,6,Actividad aeróbica,0,0,3,Regular,Ciencias Sociales y Derecho,Medio,3,Mala,5
18,Femenino,7,6,Mixta,0,0,2,Poca,Ciencias de la Salud,Alto,3,Regular,5
18,Femenino,6,6,No realiza actividad física,0,0,1.5,Regular,Ciencias de la Salud,Muy alto,2,Regular,5
18,Femenino,8,5,No realiza actividad física,2,1,5,Poca,Ciencias de la Salud,Alto,3,Muy mala,5
22,Masculino,5,7,No realiza actividad física,0,0,1,Bastante,"Ingeniería, Tecnología y Construcción",Medio,5,Regular,5
20,Femenino,NA,6,Deportes colectivos,0,0,1,Regular,"Humanidades, Artes y Educación",Alto,6,Buena,5
19,Femenino,4,5,Actividad aeróbica,0,0,4,Ninguna,"Administración, Negocios y Contabilidad",Alto,5,Mala,8
18,Femenino,3,4,No realiza actividad física,1,1,1,Poca,"Ingeniería, Tecnología y Construcción",Alto,5,Regular,8
18,Femenino,5,4,Deportes colectivos,3,1,1,Poca,Ciencias Sociales y Derecho,Muy alto,3,Mala,5
20,Masculino,6,7,Mixta,7,2,2,Regular,"Ingeniería, Tecnología y Construcción",Medio,4,Regular,5
18,Masculino,6,6,Actividad aeróbica,0,0,6,Bastante,"Ingeniería, Tecnología y Construcción",Muy alto,3,Regular,5
20,Masculino,4,7,Deportes colectivos,0,0,6,Bastante,"Ingeniería, Tecnología y Construcción",Medio,5,Regular,9
20,Masculino,6,6,Actividad aeróbica,1,1,2,Regular,"Ingeniería, Tecnología y Construcción",Alto,4,Regular,1
24,Femenino,4,6,Mixta,2,NA,14,Poca,"Ingeniería, Tecnología y Construcción",Alto,9,Regular,9
19,Femenino,6,6.5,Actividad aeróbica,0,0,2.5,Bastante,"Ingeniería, Tecnología y Construcción",Alto,3,Regular,5
17,Femenino,6,4,Mixta,0,0,1,Bastante,"Ingeniería, Tecnología y Construcción",Muy alto,1,Mala,5
19,Masculino,7,8,Mixta,0,0,10,Regular,"Ingeniería, Tecnología y Construcción",Alto,4,Buena,1
18,Masculino,8,NA,No realiza actividad física,0,0,10,Ninguna,Ciencias Sociales y Derecho,Muy alto,3,Muy buena,5
21,Femenino,3,7.5,No realiza actividad física,0,0,1,Bastante,"Ingeniería, Tecnología y Construcción",Alto,8,Buena,5
19,Femenino,7,6,Deportes colectivos,0,0,2,Bastante,Ciencias de la Salud,Medio,3,Regular,5
19,Masculino,6,6,Mixta,3,1,2,Poca,"Ingeniería, Tecnología y Construcción",Muy alto,1,Mala,5
18,Masculino,7,5,No realiza actividad física,0,0,1,Bastante,"Ingeniería, Tecnología y Construcción",Medio,3,Buena,5
19,Femenino,5,5,No realiza actividad física,0,0,1,Regular,"Ingeniería, Tecnología y Construcción",Alto,4,Regular,1
20,Femenino,NA,6,Deportes colectivos,2,0,1,Poca,"Ingeniería, Tecnología y Construcción",Alto,2,Regular,5
25,Femenino,5,6,Actividad aeróbica,0,0,6,Bastante,"Ingeniería, Tecnología y Construcción",Alto,10,Regular,5
18,Femenino,6,5,Actividad aeróbica,1,1,6,Bastante,"Ingeniería, Tecnología y Construcción",Muy alto,1,Regular,5
23,Masculino,7,6,Mixta,0,1,5,Bastante,"Ingeniería, Tecnología y Construcción",Alto,5,Mala,5
22,Masculino,7,5,Actividad aeróbica,0,0,3,Poca,"Ingeniería, Tecnología y Construcción",Alto,5,Mala,5
23,Masculino,3,5,Deportes colectivos,3,2,2,Regular,"Ingeniería, Tecnología y Construcción",Medio,10,Regular,5
19,Masculino,5,8,Actividad aeróbica,0,0,12,Bastante,"Ingeniería, Tecnología y Construcción",Alto,3,Buena,5
21,Masculino,7,5,Actividad aeróbica,2,2,4,Regular,"Ingeniería, Tecnología y Construcción",Medio,5,Mala,5
21,Femenino,6,7,Actividad aeróbica,0,1,8,Ninguna,"Humanidades, Artes y Educación",Medio,7,Regular,5
21,Masculino,5,8,Actividad aeróbica,0,1,8,Regular,"Ingeniería, Tecnología y Construcción",Muy alto,5,Regular,5
20,Femenino,6,4,No realiza actividad física,0,0,3.5,Poca,Ciencias de la Salud,Alto,9,Regular,5
21,Femenino,4,5,Actividad aeróbica,2,1,10,Bastante,Ciencias Sociales y Derecho,Alto,8,Mala,5
21,Masculino,5,6,Actividad aeróbica,1,1,8,Bastante,"Ingeniería, Tecnología y Construcción",Medio,6,Regular,5
20,Femenino,6,9,Actividad aeróbica,0,0,4,Ninguna,"Ingeniería, Tecnología y Construcción",Medio,7,Regular,5
21,Femenino,6,6,Mixta,0,0,4,Poca,"Ingeniería, Tecnología y Construcción",Alto,7,Regular,5
23,Femenino,3,6,Mixta,0,0,2,Bastante,Ciencias Exactas y Ambientales,Muy alto,8,Regular,5
25,Masculino,3,7,No realiza actividad física,0,1,1,Regular,Ciencias Sociales y Derecho,Medio,9,Regular,9
21,Femenino,6,4,Deportes colectivos,0,0,6,Bastante,"Administración, Negocios y Contabilidad",Alto,8,Regular,5
20,Femenino,6,7,Actividad aeróbica,3,1,5.5,Mucha,"Ingeniería, Tecnología y Construcción",Alto,7,Regular,5
19,Femenino,5,6,Deportes colectivos,0,0,2,Bastante,"Ingeniería, Tecnología y Construcción",Alto,5,Regular,5
22,Femenino,3,8,Actividad aeróbica,0,0,4,Regular,"Ingeniería, Tecnología y Construcción",Bajo,3,Buena,5
22,Femenino,5,6,Deportes colectivos,0,0,2,Regular,"Ingeniería, Tecnología y Construcción",Muy alto,10,Regular,5
24,Femenino,5,5,Actividad aeróbica,0,0,4,Poca,"Ingeniería, Tecnología y Construcción",Muy alto,10,Mala,5
23,Femenino,4,5,Actividad aeróbica,3,0,2,Bastante,"Ingeniería, Tecnología y Construcción",Alto,10,Mala,5
23,Femenino,6,7,Deportes colectivos,1,1,8,Bastante,"Ingeniería, Tecnología y Construcción",Alto,8,Regular,5
21,Femenino,7,6,Deportes colectivos,0,0,3,Bastante,"Ingeniería, Tecnología y Construcción",Muy alto,7,Regular,5
23,Femenino,7,7,Actividad aeróbica,6,0,3,Regular,"Ingeniería, Tecnología y Construcción",Medio,9,Regular,5
18,Femenino,6,7,Actividad aeróbica,0,0,3.5,Bastante,"Administración, Negocios y Contabilidad",Alto,3,Buena,5
17,Femenino,6,7,Actividad aeróbica,0,0,1,Bastante,"Ingeniería, Tecnología y Construcción",Medio,1,Muy buena,5
18,Femenino,6,4,Mixta,0,1,1,Regular,"Administración, Negocios y Contabilidad",Muy alto,3,Regular,5
18,Femenino,6,5,Deportes colectivos,0,0,4,Regular,"Ingeniería, Tecnología y Construcción",Alto,2,Regular,5
22,Femenino,4,6,Actividad aeróbica,3,1,3,Poca,"Administración, Negocios y Contabilidad",Alto,10,Regular,5
18,Masculino,7,6,Mixta,0,0,6,Mucha,Ciencias Sociales y Derecho,Alto,3,Regular,5
18,Femenino,6,4.5,Mixta,0,0,9.5,Mucha,"Ingeniería, Tecnología y Construcción",Muy alto,3,Mala,5
