age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,y
42,admin.,divorced,secondary,no,6811,yes,no,,14,may,150,1,0,no
78,retired,divorced,primary,no,5229,no,no,telephone,22,oct,97,1,0,yes
32,blue-collar,married,secondary,no,7089,yes,no,cellular,14,nov,132,1,0,yes
33,management,married,secondary,no,8935,yes,no,cellular,6,may,765,1,2,yes
23,services,single,tertiary,no,5363,yes,no,,30,may,,18,0,no
38,management,single,tertiary,no,,yes,no,,17,nov,609,2,3,no
36,management,single,tertiary,no,5553,no,no,cellular,11,aug,106,2,0,no
52,blue-collar,married,secondary,no,6117,yes,no,cellular,13,may,365,1,0,no
32,technician,married,tertiary,no,5396,yes,no,cellular,13,may,205,3,0,no
32,technician,single,tertiary,no,7204,yes,no,cellular,21,nov,,4,0,no
34,management,single,tertiary,no,5872,yes,no,,7,may,105,2,0,no
55,blue-collar,married,primary,no,5145,no,no,telephone,2,feb,59,3,2,no
26,blue-collar,married,primary,no,5000,yes,no,,21,may,425,1,0,no
32,entrepreneur,single,primary,yes,4151,yes,yes,cellular,4,feb,204,1,0,no
61,admin.,married,,no,9629,yes,no,cellular,27,jan,181,1,1,yes
45,blue-collar,divorced,primary,no,5844,no,no,,5,jun,1018,3,0,yes
37,technician,single,secondary,no,5228,yes,no,cellular,20,aug,,2,0,no
38,technician,single,secondary,no,5050,no,no,cellular,29,aug,98,2,0,no
34,technician,married,tertiary,no,6539,yes,no,cellular,15,jun,441,1,1,yes
53,blue-collar,married,secondary,no,7231,yes,no,cellular,14,jul,272,3,0,no
48,admin.,married,secondary,no,8064,yes,no,telephone,15,jul,159,2,0,no
57,management,married,secondary,no,5082,no,yes,telephone,4,feb,140,1,0,no
33,self-employed,single,tertiary,no,7155,no,no,cellular,17,nov,295,1,0,no
36,retired,single,secondary,no,5101,yes,yes,,26,may,314,1,0,no
54,technician,divorced,secondary,no,5784,yes,yes,,15,may,579,1,0,no
41,blue-collar,married,primary,no,4484,no,yes,telephone,8,jul,554,3,0,no
63,retired,married,secondary,no,5415,yes,no,cellular,7,oct,323,1,0,no
48,management,married,tertiary,no,10887,no,no,cellular,13,aug,227,2,0,no
48,services,married,secondary,no,6355,no,no,cellular,4,jul,134,2,0,no
56,admin.,married,secondary,no,,no,no,cellular,7,oct,223,1,0,no
51,blue-collar,divorced,secondary,no,5203,yes,no,cellular,8,may,134,1,5,no
31,services,married,secondary,no,5338,yes,no,cellular,28,jan,155,1,0,no
29,technician,married,secondary,no,5444,yes,no,cellular,21,jul,130,4,0,no
41,management,married,secondary,no,5000,no,yes,cellular,7,jul,630,3,0,no
32,technician,single,tertiary,no,5360,no,no,cellular,19,nov,164,2,0,no
37,management,married,tertiary,no,5000,no,no,cellular,16,jul,268,2,3,yes
42,entrepreneur,divorced,tertiary,yes,5002,yes,no,,5,may,380,1,0,no
31,management,single,tertiary,no,11248,yes,no,,9,may,154,2,0,no
41,services,married,tertiary,no,5412,yes,no,,3,jun,154,5,0,no
56,retired,married,secondary,no,5344,yes,no,,15,may,221,1,0,no
54,management,divorced,tertiary,no,8222,no,no,cellular,14,aug,67,2,0,no
41,blue-collar,divorced,secondary,no,5174,yes,no,cellular,14,may,367,2,1,no
40,technician,single,secondary,no,5591,no,yes,cellular,14,aug,87,6,0,no
50,blue-collar,divorced,primary,no,5388,no,no,cellular,5,feb,701,1,0,no
40,unemployed,married,secondary,no,5219,yes,no,cellular,17,nov,204,2,1,no
27,admin.,divorced,secondary,no,5451,yes,no,cellular,16,jul,652,1,0,yes
60,retired,married,primary,no,5005,no,no,cellular,26,aug,63,2,0,no
28,admin.,single,secondary,no,5177,yes,yes,cellular,6,may,150,1,0,no
52,services,married,secondary,no,5657,no,no,telephone,7,jul,398,2,2,yes
37,management,married,tertiary,no,6315,no,no,cellular,30,jun,224,1,0,yes
51,blue-collar,married,primary,no,6466,yes,no,,7,may,406,2,0,no
41,technician,single,secondary,no,5879,no,yes,cellular,7,jul,60,4,0,no
35,blue-collar,single,primary,no,5293,yes,no,,30,may,521,2,0,no
38,admin.,married,secondary,no,5424,yes,no,cellular,17,apr,279,1,0,no
34,blue-collar,married,secondary,no,6831,yes,no,,20,may,203,2,0,no
39,blue-collar,married,primary,no,5111,no,no,cellular,18,nov,201,2,0,no
34,blue-collar,married,primary,no,5455,yes,no,,20,jun,372,3,0,no
27,services,single,secondary,no,4805,yes,no,cellular,18,may,391,1,0,yes
32,management,single,tertiary,no,8616,no,no,cellular,14,aug,165,2,0,no
57,blue-collar,married,secondary,no,,no,no,cellular,11,aug,231,5,0,no
41,blue-collar,single,tertiary,no,6567,no,no,cellular,1,jul,291,2,0,no
41,admin.,married,tertiary,no,10426,yes,no,,14,may,149,2,0,no
30,admin.,single,tertiary,no,5261,no,no,cellular,19,oct,233,1,20,no
36,blue-collar,divorced,secondary,no,7843,no,no,cellular,12,feb,473,1,1,no
31,unemployed,single,primary,no,,no,no,cellular,4,feb,736,1,0,yes
36,blue-collar,married,secondary,no,5000,yes,no,,6,may,337,1,0,no
38,management,single,tertiary,no,5493,yes,no,cellular,11,may,553,1,7,no
49,technician,married,secondary,no,10996,no,no,telephone,21,nov,345,2,0,no
57,services,single,primary,no,8777,yes,no,telephone,13,may,65,2,0,no
34,management,single,secondary,no,5524,no,no,,13,aug,,1,0,no
32,management,single,tertiary,no,5574,yes,no,cellular,14,apr,259,2,3,no
37,blue-collar,married,secondary,no,5427,yes,yes,,9,jun,371,3,0,no
33,self-employed,married,tertiary,no,5483,yes,no,cellular,3,feb,280,2,0,no
56,unemployed,married,primary,no,8391,no,no,cellular,21,apr,243,1,0,yes
27,housemaid,married,primary,no,5000,yes,no,cellular,23,jul,435,3,0,no
21,student,single,secondary,no,7488,no,no,cellular,30,jun,258,6,3,yes
58,management,married,tertiary,no,6517,yes,no,telephone,29,jul,,5,0,no
32,self-employed,married,secondary,no,5217,yes,yes,cellular,15,jul,317,5,0,no
33,blue-collar,single,secondary,no,5022,no,no,cellular,30,jan,76,2,1,no
25,student,single,secondary,no,5331,no,no,telephone,26,aug,170,4,0,yes
25,technician,single,secondary,no,5505,no,yes,cellular,17,nov,386,2,0,yes
30,services,married,secondary,no,6808,yes,no,cellular,18,may,83,2,0,no
22,admin.,single,secondary,no,9111,no,yes,cellular,19,aug,65,1,0,no
39,blue-collar,married,primary,no,5052,no,no,cellular,13,aug,69,1,0,no
46,management,divorced,tertiary,no,5025,no,no,,17,jun,564,2,0,no
31,admin.,divorced,secondary,no,6890,yes,no,cellular,21,jul,588,1,0,no
45,blue-collar,married,primary,no,5419,no,no,cellular,18,aug,113,4,0,no
32,technician,married,secondary,no,7693,yes,no,,21,may,,1,0,no
36,blue-collar,married,secondary,no,4769,no,yes,cellular,15,jul,779,2,0,no
51,management,single,tertiary,yes,4945,yes,no,cellular,11,may,281,2,6,no
34,self-employed,single,tertiary,no,5462,no,no,cellular,21,aug,,3,0,yes
24,unemployed,single,secondary,no,5119,no,no,,15,sep,51,1,0,no
45,technician,single,secondary,no,5586,no,yes,cellular,28,jul,32,3,0,no
32,blue-collar,single,secondary,no,5228,no,no,telephone,5,feb,176,1,3,no
77,retired,divorced,tertiary,no,9659,no,no,cellular,14,apr,161,1,0,yes
41,blue-collar,married,primary,no,5168,yes,no,cellular,18,nov,187,3,0,no
37,blue-collar,married,primary,no,5000,yes,no,,26,may,24,1,0,no
43,blue-collar,married,,yes,4285,yes,no,,30,may,67,3,0,no
48,admin.,married,,no,5000,yes,no,cellular,8,may,85,1,2,no
27,technician,single,secondary,no,5769,yes,no,,9,may,317,2,0,no
33,management,single,tertiary,no,5000,no,no,cellular,28,aug,236,10,0,no
29,admin.,single,secondary,no,5428,yes,yes,cellular,7,may,54,1,2,no
34,management,single,tertiary,no,5000,no,no,cellular,5,feb,71,1,0,no
52,management,married,tertiary,no,4030,yes,no,cellular,4,feb,489,1,0,yes
60,management,married,,no,11313,no,no,,19,jun,39,2,0,no
32,management,divorced,tertiary,no,5948,no,no,cellular,12,aug,204,2,0,no
32,management,single,tertiary,no,5000,yes,no,cellular,22,jul,455,2,0,no
56,services,divorced,,no,6877,yes,no,,30,may,86,1,0,no
31,management,single,tertiary,no,5874,yes,no,cellular,18,nov,190,2,0,no
42,admin.,married,secondary,no,5323,yes,yes,,8,may,280,2,0,no
35,management,married,tertiary,no,5106,no,yes,cellular,11,aug,588,2,0,no
56,retired,married,primary,no,6906,no,yes,,19,jun,45,9,0,no
48,technician,married,secondary,no,6152,yes,no,cellular,21,jul,168,5,0,no
46,admin.,married,secondary,no,5179,yes,no,cellular,29,jan,194,4,1,no
37,technician,single,,no,5391,yes,no,,8,may,103,3,0,no
41,entrepreneur,married,,no,5089,yes,no,,6,may,333,2,0,no
36,management,single,tertiary,no,5442,yes,yes,cellular,29,jul,102,3,0,no
45,unemployed,divorced,primary,yes,4751,yes,yes,,1,jul,92,1,0,no
55,entrepreneur,married,secondary,no,13104,no,no,cellular,6,feb,213,2,0,no
39,technician,married,secondary,no,5501,no,no,,26,may,289,1,0,no
35,technician,divorced,secondary,no,5308,no,no,cellular,22,aug,77,2,0,no
55,admin.,married,secondary,no,5602,no,no,cellular,1,jun,324,3,2,yes
55,technician,married,secondary,no,5273,yes,no,cellular,29,jan,84,3,3,no
27,self-employed,single,secondary,no,5050,no,no,cellular,29,jan,168,1,0,no
34,technician,married,secondary,no,6641,yes,no,cellular,17,apr,380,1,0,no
34,blue-collar,married,tertiary,no,5020,no,no,,4,oct,,1,0,no
25,admin.,single,secondary,no,9590,yes,no,,28,may,199,2,0,no
41,admin.,single,secondary,no,4744,no,yes,,9,may,35,3,0,no
43,services,married,secondary,no,5978,yes,yes,,26,may,82,2,0,no
28,management,single,tertiary,no,5080,no,no,cellular,20,oct,676,2,2,yes
31,admin.,single,secondary,no,7104,yes,no,,3,jun,455,1,0,no
78,housemaid,married,secondary,no,5499,no,no,telephone,16,mar,80,4,0,no
45,blue-collar,divorced,secondary,no,6269,yes,no,cellular,29,jan,549,2,0,no
48,technician,married,tertiary,no,5310,no,no,,6,may,135,1,0,no
32,blue-collar,single,secondary,no,6143,yes,yes,cellular,10,jul,412,1,0,no
42,technician,married,secondary,no,7980,no,no,,20,jun,101,3,0,no
37,management,single,tertiary,no,5037,no,no,cellular,28,jan,253,2,0,no
40,admin.,single,secondary,no,5462,yes,yes,cellular,6,apr,272,1,4,no
32,admin.,married,secondary,no,6031,yes,no,cellular,17,jul,84,1,0,no
42,management,married,tertiary,no,14009,no,no,cellular,20,nov,135,2,0,no
43,admin.,married,secondary,no,4535,yes,yes,cellular,23,jul,166,1,0,no
44,admin.,married,secondary,no,10181,yes,yes,cellular,31,jul,,7,0,no
37,admin.,married,secondary,no,5176,yes,no,cellular,5,may,147,2,1,no
37,blue-collar,married,,no,6699,no,no,,9,jun,63,1,0,no
37,admin.,married,tertiary,no,5000,yes,no,cellular,17,nov,65,2,1,no
28,technician,single,tertiary,no,5172,yes,yes,cellular,2,feb,194,2,0,no
32,services,single,secondary,no,5000,no,yes,cellular,11,jul,333,2,0,no
34,admin.,single,secondary,no,11979,yes,no,cellular,15,may,,5,0,no
40,admin.,divorced,secondary,no,5006,no,no,,11,jun,140,1,0,no
34,services,married,secondary,no,4938,yes,no,,16,jun,109,3,0,no
34,self-employed,married,tertiary,no,6972,yes,no,cellular,23,jul,61,2,0,no
34,admin.,married,tertiary,no,5899,yes,no,telephone,19,nov,377,3,4,no
37,services,single,secondary,no,5021,yes,no,cellular,2,feb,96,1,2,no
36,technician,married,secondary,no,5023,yes,no,cellular,8,may,152,2,1,no
56,retired,married,secondary,no,3794,yes,no,cellular,15,jun,382,2,0,yes
49,blue-collar,married,primary,no,5000,yes,yes,telephone,23,jul,97,6,0,no
33,self-employed,married,secondary,no,5215,yes,no,cellular,29,jul,543,12,0,no
30,management,single,tertiary,no,6372,no,no,cellular,20,nov,240,2,0,no
36,services,married,secondary,no,6981,no,no,,17,jun,48,2,0,no
23,student,single,secondary,no,14216,no,no,cellular,5,jun,471,2,0,no
57,retired,divorced,secondary,no,5039,yes,no,cellular,30,jul,354,3,0,no
27,blue-collar,single,secondary,no,10563,yes,no,,30,may,435,2,0,no
38,services,married,secondary,no,5001,no,yes,cellular,21,nov,152,2,0,no
42,technician,married,tertiary,no,5782,no,no,cellular,3,apr,285,1,0,no
75,retired,married,secondary,no,,no,no,telephone,15,apr,185,1,2,yes
34,technician,single,tertiary,no,5992,yes,no,cellular,4,may,301,1,2,no
48,technician,married,secondary,no,6526,no,no,cellular,6,aug,273,2,0,no
35,technician,single,tertiary,no,7658,yes,no,cellular,19,aug,768,2,3,yes
39,management,divorced,tertiary,no,6315,yes,no,cellular,19,nov,1337,4,1,no
29,blue-collar,single,tertiary,no,5455,no,no,telephone,21,apr,403,1,0,yes
45,technician,single,tertiary,no,5000,yes,no,cellular,18,nov,139,2,0,no
42,technician,married,secondary,no,7030,yes,yes,cellular,9,jul,196,1,0,no
29,technician,married,secondary,no,6599,yes,no,cellular,8,jul,115,1,1,no
38,services,single,secondary,no,4804,yes,no,cellular,2,feb,60,1,1,no
56,retired,married,secondary,no,6333,no,no,cellular,28,aug,,14,0,no
36,technician,single,secondary,no,14149,yes,no,cellular,13,aug,141,3,0,no
25,blue-collar,single,secondary,no,4650,yes,no,,23,jun,95,3,0,no
38,technician,married,tertiary,no,5432,yes,no,cellular,15,may,,2,1,no
57,self-employed,married,secondary,no,,no,no,cellular,19,nov,198,1,0,no
31,management,married,tertiary,yes,4747,no,no,cellular,12,aug,220,4,0,no
42,management,married,tertiary,no,5372,yes,no,cellular,3,aug,654,2,0,yes
45,technician,married,secondary,no,6410,no,no,cellular,11,aug,71,2,0,no
30,blue-collar,married,secondary,no,5975,yes,no,cellular,13,may,256,2,2,no
49,blue-collar,married,primary,no,5305,yes,yes,telephone,10,jul,834,10,0,no
49,services,married,secondary,no,5400,no,no,cellular,21,aug,151,3,0,no
53,retired,married,tertiary,no,4978,yes,no,cellular,31,jul,20,3,0,no
37,technician,married,secondary,no,9030,yes,no,,26,may,178,5,0,no
49,blue-collar,married,primary,no,5365,no,no,,26,may,59,2,0,no
41,self-employed,married,primary,no,5204,no,no,cellular,13,aug,111,7,0,no
54,management,married,primary,no,6691,yes,no,cellular,20,nov,186,1,0,no
32,services,single,secondary,no,5406,yes,no,,6,may,227,1,0,no
33,technician,married,secondary,no,4796,no,no,cellular,15,may,297,3,0,no
33,technician,married,secondary,no,5359,yes,no,cellular,20,apr,210,1,1,no
36,blue-collar,married,primary,no,5123,yes,no,cellular,18,may,,1,0,no
35,technician,married,tertiary,no,5000,yes,yes,cellular,23,sep,112,1,6,no
52,blue-collar,married,secondary,no,5142,no,no,cellular,25,aug,112,6,0,no
40,entrepreneur,married,tertiary,no,8571,no,no,,9,jun,222,3,0,no
44,technician,single,secondary,no,5033,yes,no,cellular,13,may,195,3,10,no
45,blue-collar,single,secondary,no,5000,yes,no,cellular,26,jul,768,2,5,no
30,student,single,secondary,no,8096,no,no,cellular,26,jan,123,1,0,no
48,technician,divorced,secondary,yes,5020,no,no,cellular,27,aug,145,3,0,no
33,blue-collar,married,secondary,no,8576,yes,no,cellular,2,apr,124,1,2,no
57,technician,married,,no,5206,yes,no,,5,may,216,3,0,no
57,housemaid,married,primary,no,12082,no,no,,6,jun,69,3,0,no
51,unemployed,married,tertiary,no,6634,yes,no,cellular,22,jul,168,4,0,no
34,admin.,single,secondary,no,5001,yes,no,cellular,22,jul,483,7,0,no
50,self-employed,married,tertiary,no,9012,no,no,cellular,19,nov,690,3,0,no
44,management,married,tertiary,no,8762,no,no,cellular,28,aug,125,12,0,no
27,admin.,married,secondary,no,4753,yes,yes,,4,jun,344,2,0,no
50,blue-collar,married,secondary,no,5606,yes,no,,14,may,673,2,0,no
36,management,married,tertiary,no,5000,yes,no,cellular,28,jan,60,1,1,no
42,management,married,secondary,no,4811,yes,no,,12,may,247,2,0,no
32,unemployed,single,secondary,no,5000,no,no,cellular,27,may,123,2,0,no
42,management,married,tertiary,no,5484,yes,no,cellular,11,jul,144,2,0,no
43,technician,married,secondary,no,5000,no,yes,cellular,8,may,,2,5,no
31,management,married,tertiary,no,5395,yes,no,cellular,9,feb,155,3,0,no
32,management,married,tertiary,no,7349,no,no,cellular,14,aug,134,5,0,no
55,blue-collar,divorced,primary,no,5410,no,yes,cellular,11,jul,221,2,0,no
58,retired,married,primary,no,8401,yes,no,cellular,3,feb,84,3,2,no
46,blue-collar,married,primary,no,5222,no,no,cellular,8,aug,71,2,0,no
55,blue-collar,married,secondary,no,5989,yes,yes,,23,may,246,4,0,no
34,management,married,tertiary,no,5415,no,yes,cellular,23,jul,361,2,0,no
28,unemployed,single,secondary,no,5016,no,no,cellular,12,aug,119,4,0,no
42,technician,divorced,tertiary,no,12190,yes,no,cellular,29,jul,375,2,0,no
29,blue-collar,single,secondary,no,5482,no,yes,cellular,10,jul,1097,3,0,yes
54,housemaid,married,secondary,no,5209,yes,yes,cellular,25,jul,97,1,0,no
32,technician,single,secondary,no,5000,no,no,cellular,26,aug,181,2,0,no
39,technician,single,tertiary,no,10803,no,no,cellular,2,feb,83,3,0,no
53,entrepreneur,married,tertiary,no,5624,no,yes,cellular,21,jul,180,4,0,no
58,technician,married,tertiary,no,5883,no,no,cellular,18,aug,543,1,2,no
40,self-employed,married,secondary,no,6516,yes,yes,,23,may,373,1,0,no
29,student,single,secondary,no,5872,yes,no,,7,may,230,1,0,no
33,technician,married,tertiary,no,4012,yes,yes,cellular,15,jul,83,3,0,no
38,admin.,single,secondary,no,5902,yes,no,telephone,31,jul,58,13,0,no
56,services,divorced,secondary,no,6007,no,no,cellular,29,jul,88,6,0,no
40,services,married,secondary,no,5000,yes,no,cellular,2,jun,297,1,3,no
24,blue-collar,single,secondary,no,5174,yes,yes,cellular,18,may,487,1,0,yes
46,management,married,secondary,no,,no,no,,20,jun,29,3,0,no
35,self-employed,married,secondary,no,5524,yes,no,cellular,21,nov,484,4,0,no
35,blue-collar,single,tertiary,no,5000,yes,no,cellular,21,jul,262,4,0,no
34,technician,married,secondary,no,5004,yes,no,,15,may,644,1,0,no
35,housemaid,married,tertiary,no,,no,no,cellular,12,aug,699,2,1,no
38,technician,single,tertiary,no,5000,no,no,cellular,28,aug,247,2,0,no
50,blue-collar,married,primary,no,10776,no,no,cellular,18,nov,49,3,0,no
51,blue-collar,divorced,primary,no,5037,yes,no,cellular,13,may,341,1,0,no
59,self-employed,married,tertiary,no,5593,no,no,,13,may,64,2,0,no
32,blue-collar,married,secondary,no,6148,yes,no,cellular,20,apr,121,1,0,no
37,blue-collar,single,secondary,no,8561,yes,no,,2,jun,98,1,0,no
42,admin.,divorced,secondary,no,5063,no,no,,16,may,88,6,0,no
40,student,married,secondary,no,5260,no,no,,20,jun,197,6,0,no
28,technician,single,tertiary,no,7269,yes,no,,9,may,331,1,0,no
47,admin.,married,secondary,no,6060,yes,no,,6,jun,83,3,0,no
27,self-employed,married,secondary,no,4780,yes,no,,26,may,138,2,0,no
41,management,married,tertiary,no,5049,yes,no,cellular,17,jul,312,5,0,no
34,admin.,married,tertiary,no,5069,no,yes,cellular,4,aug,120,3,6,yes
50,blue-collar,married,primary,no,9108,yes,no,cellular,7,aug,526,2,0,yes
47,blue-collar,married,secondary,no,5480,yes,no,,28,may,211,2,0,no
53,services,married,secondary,no,9994,no,no,cellular,18,aug,62,6,0,no
53,technician,divorced,secondary,no,5000,yes,yes,cellular,15,jul,135,5,0,no
47,management,married,tertiary,no,8681,no,no,cellular,14,aug,101,2,0,no
49,entrepreneur,divorced,,yes,4299,yes,no,cellular,30,jul,988,2,0,yes
29,management,married,tertiary,no,5451,no,no,cellular,28,jan,451,1,0,no
45,blue-collar,divorced,primary,no,4689,yes,no,,23,may,1030,1,0,yes
38,entrepreneur,married,secondary,no,5593,yes,yes,cellular,24,jul,1484,24,0,yes
32,blue-collar,married,secondary,no,,yes,no,cellular,9,apr,317,5,0,yes
70,retired,divorced,primary,no,9531,no,no,cellular,18,may,445,1,0,no
65,retired,divorced,primary,no,6840,no,no,cellular,1,jun,383,2,5,no
56,blue-collar,married,secondary,no,5345,yes,no,telephone,22,jul,605,1,0,no
35,blue-collar,married,secondary,no,6287,yes,no,cellular,14,jul,330,2,0,no
56,management,married,,no,5353,no,yes,cellular,25,jul,171,2,0,no
56,technician,married,secondary,no,5205,no,yes,cellular,23,jul,442,2,0,no
49,entrepreneur,married,secondary,no,5687,yes,no,cellular,17,apr,772,1,0,yes
38,unemployed,married,primary,no,6147,yes,yes,,8,may,249,5,0,no
35,management,married,tertiary,no,9286,yes,no,,9,may,357,1,0,no
38,admin.,married,tertiary,no,5605,no,no,cellular,18,nov,147,2,0,no
49,blue-collar,married,secondary,no,13545,yes,yes,cellular,6,may,199,7,1,no
55,management,married,,no,5559,no,no,cellular,28,jan,271,2,0,no
43,blue-collar,single,primary,no,5002,yes,no,cellular,30,jul,783,3,0,no
43,management,married,tertiary,no,5002,no,yes,cellular,20,aug,472,2,0,no
25,admin.,single,tertiary,no,5760,yes,no,cellular,27,may,223,3,2,yes
30,blue-collar,married,primary,no,6317,yes,no,,21,may,395,2,0,no
46,blue-collar,married,secondary,no,5182,no,no,cellular,4,feb,56,1,0,no
50,admin.,married,primary,no,5276,no,yes,,17,jun,641,6,0,no
35,entrepreneur,married,secondary,no,7971,no,no,cellular,4,may,429,4,2,yes
26,unemployed,single,secondary,no,6064,no,no,,31,may,113,1,0,no
45,admin.,married,,no,6783,no,no,,20,jun,,11,0,no
37,blue-collar,married,secondary,no,4933,no,no,cellular,2,feb,157,1,0,no
60,self-employed,single,tertiary,no,5179,no,yes,cellular,29,jul,79,4,0,no
38,management,married,tertiary,no,6199,no,no,cellular,4,aug,178,1,1,yes
47,blue-collar,married,primary,no,5214,yes,yes,,9,jun,168,1,0,no
33,technician,married,secondary,no,11699,no,no,cellular,9,nov,425,1,1,no
51,unemployed,married,secondary,no,6760,no,yes,cellular,19,nov,162,1,0,no
35,entrepreneur,single,tertiary,no,5145,yes,no,cellular,18,jul,799,2,0,yes
35,unemployed,married,secondary,no,5978,no,no,cellular,29,dec,1370,3,3,yes
48,admin.,single,secondary,no,6150,yes,no,,28,may,357,1,0,no
37,admin.,married,secondary,no,5121,no,no,cellular,22,jul,22,6,0,no
29,technician,single,tertiary,no,5828,yes,no,cellular,16,apr,215,3,3,no
34,admin.,married,secondary,no,5244,yes,no,cellular,31,jul,56,4,0,no
32,services,married,primary,no,5228,yes,no,cellular,21,jul,1017,6,0,yes
30,management,single,tertiary,no,5424,no,no,cellular,16,apr,298,4,0,yes
47,management,divorced,tertiary,no,5447,no,yes,,7,may,126,1,0,no
33,blue-collar,married,primary,no,4805,no,no,,20,sep,,1,0,no
33,management,single,tertiary,no,6410,yes,no,cellular,5,feb,,1,5,no
63,retired,married,primary,no,6084,no,no,cellular,14,oct,201,1,1,no
51,self-employed,divorced,primary,no,,no,no,cellular,6,may,106,2,0,no
41,management,married,tertiary,no,5832,yes,yes,cellular,21,nov,164,1,1,no
56,retired,married,tertiary,no,5478,no,no,cellular,5,feb,97,1,0,no
60,management,single,tertiary,no,5000,no,yes,cellular,23,jul,151,1,0,no
41,self-employed,single,tertiary,no,8950,yes,no,,30,may,96,2,0,no
37,management,single,,no,5504,yes,no,cellular,16,apr,555,1,0,no
36,blue-collar,single,secondary,no,5219,yes,yes,cellular,11,may,270,2,1,no
57,management,married,tertiary,no,6602,no,no,cellular,29,jul,339,3,0,no
55,management,married,primary,no,7587,no,no,cellular,4,sep,328,2,2,yes
44,admin.,married,secondary,no,5000,yes,yes,,16,may,159,1,0,no
47,self-employed,married,tertiary,no,7303,yes,no,cellular,6,may,323,2,1,no
31,blue-collar,married,secondary,no,6660,yes,no,cellular,20,apr,342,1,0,no
35,management,married,tertiary,yes,5032,yes,no,cellular,21,nov,180,1,0,no
39,management,married,tertiary,no,5278,no,yes,cellular,28,jul,60,3,0,no
50,management,married,tertiary,no,5004,no,no,cellular,17,nov,223,1,2,no
29,management,married,tertiary,no,5318,yes,no,cellular,18,may,1434,2,4,no
30,services,single,secondary,no,5209,yes,no,,6,may,30,2,0,no
46,services,married,secondary,no,5271,yes,no,,16,may,134,4,0,no
27,management,single,,no,8196,no,no,cellular,9,feb,,2,0,no
48,admin.,divorced,secondary,no,9099,no,no,cellular,2,apr,397,2,0,yes
26,student,single,secondary,no,7572,yes,no,cellular,5,may,620,1,0,no
36,management,single,tertiary,no,5339,no,no,cellular,21,nov,,6,0,no
42,blue-collar,married,primary,no,5000,yes,yes,cellular,7,may,209,2,0,no
50,housemaid,married,primary,no,5395,yes,no,,15,may,419,2,0,no
49,blue-collar,married,secondary,no,7039,yes,no,cellular,18,nov,283,2,0,no
45,management,married,tertiary,no,10450,no,no,cellular,8,aug,188,2,0,no
23,student,single,secondary,no,5780,no,no,cellular,16,sep,267,1,0,no
38,technician,single,secondary,no,5000,yes,no,cellular,7,apr,196,2,0,no
32,management,single,tertiary,no,13436,yes,no,cellular,17,apr,245,1,2,no
