Grupo,Registro,Precio,Tienda,Lote,Vencimiento,Estado,Rojas,Azules,Verdes,Amarillas,Naranjas,Rosadas,Etapa,Neto,Postgrado
1,29-04-25,2.4,Tienda local,43010211B,15.08.25,bueno,5,3,3,11,7,3,E-2,,No
5,02-05-25,2.9,Listo UTEC,50250107C,21.11.25,bueno,3,4,4,8,7,5,,,No
5,02-05-25,2.9,Listo UTEC,50250107C,21.11.25,bueno,2,6,3,13,1,7,,,No
0,02-05-25,2.5,Bodega Verde,50140107C,10.11.25,Bueno,3,5,2,4,10,5,E-6,27,No
0,02-05-25,2.5,Bodega Verde,50140107C,10.11.25,Bueno,4,3,4,10,8,2,E-6,30,No
0,04-05-25,2.2,jet market,43280107A,19/09/25,malo,5,2,5,6,6,1,E-6,31,No
0,05-05-25,2.7,jet market,50280107A,24.11.25,,3,2,3,9,8,7,E-6,31,No
0,05-05-25,3,Listo,43280107A,19.09.25,bueno,2,3,3,5,12,4,E-6,32,No
1,05-05-25,2,Bodega Colca,50150107C,11.11.25,bueno,3,4,6,4,4,6,E-6,29,No
1,05-05-25,2.9,OXXO,50640107C,30.12.25,bueno,8,4,4,5,9,2,E-6,30,No
1,05-05-25,2.5,Tienda local,50280107A,24.11.25,bueno,3,7,4,6,6,5,E-6,29,No
1,05-05-25,3.2,Tambo,43270107A,18.09.25,bueno,2,4,4,4,15,3,E-6,31,No
2,05-05-25,2,Plaza Vea,50650107A,31.12.25,bueno,5,4,2,9,8,4,E-6,31,No
2,05-05-25,2.9,Listo UTEC,50250107C,21.11.25,bueno,3,4,1,13,9,2,E-6,32,No
2,05-05-25,3.3,Tambo,41450107C,20.03.25,bueno,3,2,1,8,7,10,E-6,31,No
2,05-05-25,1.8,Metro Balta,50650107A,31.12.25,bueno,8,2,2,6,8,4,E-6,28,No
2,05-05-25,2.9,Oxxo,50640107A,30.12.25,bueno,4,4,2,6,8,7,E-6,30,No
3,05-05-25,2.9,Oxxo,50630107C,29.12.25,bueno,6,7,7,,4,,,,No
3,05-05-25,2.9,Listo UTEC,50630107C,29.12.25,bueno,6,7,1,7,4,5,E-6,31,No
3,05-05-25,2,Bodega Bonifacio,50420107C,08.12.25,malo,5,3,4,7,4,6,E-6,28,No
3,05-05-25,2.5,MiniMarket Danielito,42620107C,15.07.25,bueno,4,1,2,10,9,5,E-6,28,No
4,05-05-25,2.9,Listo,50620107C,28.12.25,bueno,7,4,4,5,8,3,E-6,30,No
4,05-05-25,2.9,Listo,50630107C,29.12.25,bueno,4,0,6,4,10,5,E-6,29,No
4,05-05-25,2.9,Listo,50630107C,21.11.25,bueno,7,2,6,4,8,4,E-6,30,No
4,05-05-25,,Listo,43260107A,17.09.25,bueno,3,6,2,6,9,5,E-6,30,No
4,05-05-25,2.8,Tambo Barranco,41450107C,20.03.25,malo,4,5,3,6,,,E-6,,No
5,05-05-25,2.9,Listo UTEC,50630107C,29.12.25,bueno,6,3,2,7,8,5,E-6,31,No
5,05-05-25,2.9,Listo UTEC,50630107C,29.12.25,bueno,4,7,0,8,10,3,E-6,31,No
5,05-05-25,2.9,Listo UTEC,50630107C,29.12.25,bueno,4,5,8,4,3,6,E-6,30,No
6,05-05-25,3.2,Tambo Matellini,50230107C,19.11.25,bueno,4,3,3,10,9,1,E-6,29,No
6,05-05-25,2.9,Listo UTEC,50630107C,29.12.25,regular,7,1,1,6,12,4,E-6,29,No
6,05-05-25,2,Supermarket Vega,50240107C,20.11.25,bueno,3,3,4,7,9,6,E-6,30,No
6,05-05-25,3.3,Tambo Av.Grau,41450107C,20.03.25,bueno,5,4,3,4,10,4,E-6,30,No
7,05-05-25,2.5,RIVERCAT MARKET E.I.R.L,50280107A,24.11.25,regular,5,4,2,10,6,4,E-6,32,No
7,05-05-25,2.9,Listo UTEC,50630107C,29.12.25,bueno,5,4,2,9,5,5,E-6,29,No
7,05-05-25,2.9,Listo UTEC,50220107A,18.11.25,bueno,4,5,4,5,10,3,E-6,29,No
7,05-05-25,1.8,Bodega Basilia,50280107A,24.11.25,regular,6,3,3,7,10,1,E-6,29,No
8,05-05-25,3,Listo Orrantia,50650107A,31.12.25,bueno,5,3,6,7,9,1,E-6,30,No
8,05-05-25,2.9,Listo UTEC,50360107C,29.12.25,bueno,3,4,4,10,7,2,E-6,29,No
8,05-05-25,2.5,MiniMarket Sussy,50250107A,21.11.25,bueno,1,3,7,7,7,6,E-6,30,No
8,05-05-25,2.0,Comercial Kong Hing,43050107A,27.08.25,,3,2,6,7,8,5,E-6,31,No
9,05-05-25,3.2,Tambo Mariano-Cornejo,50150107A,11.11.25,bueno,3,5,3,7,8,4,E-6,29,No
9,05-05-25,3.2,Tambo Tomas Valle,43000107A,22.08.25,bueno,6,2,8,3,9,4,E-6,31,No
9,05-05-25,2,Tottus Angamos ,50640107C,30.12.25,regular,6,3,6,6,8,4,E-6,30,No
9,05-05-25,2,Plaza Vea Ventanilla,5062010C,28.12.25,bueno,4,5,2,6,11,2,E-6,28,No
9,05-05-25,2,Plaza Vea,50600107A,26.12.25,bueno,5,2,2,8,10,4,E-6,29,No
1,05-05-25,2.6,Local,50630107C,29.12.25,bueno,3,2,4,8,12,2,E-6,30,No
0,01-06-25,2.4,Jet Market,43280107A,19.09.25,malo,6,7,0,4,13,1,E-7,31,No
0,16-07-25,3,Listo UTEC,51120107A,16.02.26,malo,1,4,4,6,8,8,E-8,31,No
0,27-09-25,3,Listo UTEC,51120107A,16.02.26,malo,3,0,5,7,6,5,E-8,30,No
0,27-09-25,3,Listo UTEC,51120107A,16.02.26,malo,5,2,5,5,7,8,E-8,29,No
0,27-09-25,3,Listo UTEC,51120107A,16.02.26,malo,4,4,4,6,8,6,E-8,31,No
0,26-10-25,3,Jet Market,51120107A,,bueno,4,3,5,7,6,5,E-8,30,No
0,26-10-25,3,Jet Market,51120107A,,bueno,5,3,3,9,5,7,E-8,30,No
0,26-10-25,3,Jet Market,51120107A,16.02.26,bueno,5,4,5,8,8,4,E-8,31,No
10,14-10-26,2.5,Oxxo Balta,60840107C,19.01.27,bueno,3,6,6,5,7,3,E-9,29.68,Sí
10,14-10-26,2.5,Oxxo Balta,60840107C,19.01.27,bueno,1,4,6,6,9,5,E-9,30.82,Sí
10,14-10-26,2.9,Li$to UTEC,53370107C,29.09.26,Bueno,6,1,5,9,9,1,E-09,30.59,Sí
10,14/10-26,"2,9",Listoutec,53360107A,28.09.26,buEno,2,4,3,9,7,5,E-09,29.82,Sí
10,14-10-2025,2,Bodega ,53380107B,30.09.26,bueno,5,3,6,9,6,1,E-9,29.77,Sí
10,14-10-26,2.9,Listo Utec ,53360107A,28-09-26,MALO,6,0,6,7,11,2,E-09,32.1,Sí
10,14-10-26,2.9,Listo Utec ,53370107C,29-09-2026,MALO ,4,5,3,10,6,3,E-09,31.25,Sí
10,14-10-2026,2.9,LISTO UTEC ,53360107A,28.09.2026,bueno,4,4,2,11,5,5,E-09,28.09,Sí
10,14-10-2026,2.9,LISTO UTEC ,53370107C,29.29.2026,bueno,3,2,2,11,8,5,E-9,30.87,Sí
10,14-10-26,2.9,Listo UTEC,53360107A,29.09.26,malo,3,6,5,9,6,3,E-9,32.13,Sí
10,14-10-26,2.9,Listo UTEC,53370107C,29.09.26,bueno,2,6,3,7,7,5,E-9,29.91,Sí
10,14-10-26,2,Tiendita,53380107B,30.09.26,bueno,2,2,3,8,10,6,E-9,30.5,Sí
